analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,0,0.558769
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,1,0.520727
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,2,0.526475
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,3,0.527028
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,4,0.527426
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,5,0.526222
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,6,0.526276
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,7,0.526727
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,8,0.518038
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,9,0.526326
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,10,0.526572
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,11,0.526485
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,12,0.526682
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,13,0.526495
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,14,0.526557
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,15,0.526419
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,16,0.518223
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,17,0.526140
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,18,0.526571
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,19,0.519423
times,lorenz,classical-rk4,fixed,none,none,nan,8,3,20,0.519255
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,0,0.541527
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,1,0.535740
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,2,0.534341
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,3,0.535119
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,4,0.542595
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,5,0.542234
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,6,0.541677
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,7,0.542622
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,8,0.534360
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,9,0.535697
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,10,0.535606
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,11,0.542356
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,12,0.541949
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,13,0.543277
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,14,0.534718
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,15,0.535363
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,16,0.534897
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,17,0.542655
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,18,0.542107
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,19,0.543002
times,lorenz,classical-rk4,fixed,both,none,nan,8,3,20,0.541946
