analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,0,18.577811
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,1,18.582107
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,2,18.354545
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,3,18.349270
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,4,18.347219
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,5,18.378749
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,6,18.346009
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,7,18.341599
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,8,18.354549
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,9,18.344670
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0625,131072,32,10,18.345905
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,0,18.440323
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,1,18.430339
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,2,20.162726
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,3,18.484271
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,4,18.430940
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,5,18.417891
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,6,18.424361
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,7,18.478660
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,8,18.469607
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,9,18.418195
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.03125,131072,32,10,18.424748
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,0,19.290767
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,1,19.276704
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,2,19.276708
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,3,19.271394
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,4,19.784986
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,5,19.271483
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,6,21.989330
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,7,19.275785
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,8,19.276632
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,9,19.268972
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.015625,131072,32,10,19.283085
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,0,24.219485
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,1,21.009811
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,2,24.070811
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,3,20.976365
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,4,24.196379
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,5,21.077234
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,6,24.137837
wp,lorenz96,classical-rk4,fixed,d2h,dt,0.0078125,131072,32,7,20.977077
