analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,0,28.438165
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,1,28.386606
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,2,28.390079
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,3,28.390082
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,4,28.397379
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,5,28.400207
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,6,28.393147
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,7,28.383300
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,8,28.386933
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,9,28.375829
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,10,28.390186
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,11,28.400681
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,12,28.398882
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,13,28.394771
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,14,28.390105
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,15,28.395396
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,16,28.392370
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,17,28.391909
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,18,28.392526
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,19,28.395471
times,pleiades,classical-rk4,fixed,none,none,nan,8,28,20,28.395667
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,0,28.419045
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,1,28.402791
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,2,28.401137
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,3,28.410596
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,4,28.417101
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,5,28.403058
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,6,28.410057
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,7,28.412501
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,8,28.408187
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,9,28.403852
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,10,28.410716
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,11,28.419681
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,12,28.410446
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,13,28.418364
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,14,28.418381
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,15,28.413885
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,16,28.410236
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,17,28.412114
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,18,28.407965
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,19,28.415499
times,pleiades,classical-rk4,fixed,both,none,nan,8,28,20,28.417125
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,0,28.488592
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,1,28.387150
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,2,28.390331
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,3,28.394792
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,4,28.389975
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,5,28.386912
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,6,28.397382
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,7,28.397444
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,8,28.399821
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,9,28.396703
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,10,28.399294
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,11,28.395556
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,12,28.381467
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,13,28.394492
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,14,28.393435
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,15,28.389743
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,16,28.383132
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,17,28.390194
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,18,28.394662
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,19,28.390437
times,pleiades,classical-rk4,fixed,none,none,nan,32,28,20,28.388009
times,pleiades,classical-rk4,fixed,both,none,nan,32,28,0,28.409321
times,pleiades,classical-rk4,fixed,both,none,nan,32,28,1,28.402501
times,pleiades,classical-rk4,fixed,both,none,nan,32,28,2,28.404466
