package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,samples_ms,errored_pct,error,build_s,recorded_utc
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8,3,default,both,0.081493,0.08839;0.083203;0.089729;0.09002;0.089405;0.090054;0.089989;0.090869;0.113771;0.091663;0.089973;0.089008;0.089234;0.081493;0.088732;0.089018;0.089384;0.090343;0.089844;0.113787;0.098686,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8,3,default,none,0.065873,0.10513;0.067352;0.074535;0.0749;0.073635;0.074024;0.073955;0.074799;0.075126;0.073467;0.075724;0.067352;0.074386;0.073856;0.072861;0.074199;0.073978;0.066193;0.065873;0.094231;0.081025,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32,3,default,both,0.082982,0.097585;0.082982;0.090035;0.090526;0.090402;0.090578;0.090572;0.113751;0.107961;0.090421;0.09085;0.09033;0.090428;0.090812;0.091434;0.090606;0.09119;0.09104;0.108079;0.090534;0.090458,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32,3,default,none,0.067004,0.107695;0.068891;0.074912;0.07524;0.074918;0.074904;0.075194;0.075108;0.067226;0.073774;0.075275;0.074341;0.074415;0.07504;0.074347;0.0742;0.075196;0.074098;0.074738;0.067004;0.073883,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,128,3,default,both,0.089571,0.094803;0.091694;0.089691;0.091075;0.089571;0.089818;0.090593;0.098525;0.09105;0.089751;0.090142;0.089789;0.089834;0.089774;0.090081;0.090219;0.0903;0.090592;0.090283;0.089986;0.089953,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,128,3,default,none,0.068052,0.106283;0.068052;0.074876;0.074828;0.074514;0.074037;0.074332;0.074991;0.075165;0.074471;0.074201;0.074778;0.075869;0.075503;0.074829;0.073739;0.074294;0.074968;0.075254;0.074897;0.074668,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,512,3,default,both,0.090737,0.09812;0.092729;0.092645;0.092349;0.106593;0.099639;0.099601;0.090737;0.099749;0.099802;0.09974;0.131515;0.099845;0.099888;0.099939;0.099809;0.099797;0.099978;0.105866;0.100409;0.099596,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,512,3,default,none,0.074149,0.110585;0.075666;0.089398;0.082203;0.081588;0.082821;0.082466;0.081693;0.074149;0.081935;0.084968;0.081916;0.082059;0.082755;0.082644;0.082431;0.082026;0.082832;0.074822;0.082573;0.081889,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2048,3,default,both,0.121909,0.127372;0.129639;0.129413;0.127716;0.126502;0.149067;0.129348;0.127875;0.127668;0.129405;0.127576;0.127855;0.144275;0.121909;0.127442;0.127587;0.12925;0.128645;0.127916;0.128379;0.128993,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2048,3,default,none,0.101331,0.112601;0.111071;0.109418;0.108405;0.108941;0.102231;0.107015;0.102493;0.118884;0.110198;0.108077;0.108482;0.101331;0.108983;0.108052;0.107686;0.109846;0.108163;0.108212;0.125841;0.109643,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8192,3,default,both,0.276874,0.282697;0.276874;0.278462;0.277796;0.27759;0.277501;0.302822;0.29389;0.309349;0.277429;0.277118;0.277792;0.277127;0.278392;0.279302;0.277667;0.277673;0.277421;0.277244;0.277085;0.277767,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8192,3,default,none,0.249424,0.258049;0.251686;0.249811;0.259342;0.282068;0.264015;0.251091;0.251152;0.25184;0.252122;0.252644;0.25079;0.250587;0.250072;0.251252;0.251808;0.249791;0.249424;0.250242;0.250875;0.250542,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32768,3,default,both,0.948987,0.954629;0.961273;0.955895;0.95724;0.960501;0.953679;0.957641;0.955486;0.955102;0.957539;0.948987;0.959814;0.958745;0.959575;0.95334;0.955721;0.964527;0.952969;0.962003;0.954073;0.959141,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32768,3,default,none,0.878995,0.926408;0.918457;0.900533;0.9174;0.878995;0.905412;0.925623;0.896237;0.892818;0.894795;0.899118;0.895789;0.896677;0.895116;0.901339;0.899968;0.888887;0.891368;0.898885;0.898051;0.899299,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,131072,3,default,both,3.57244,3.582677;3.587249;3.589309;3.581603;3.579894;3.582169;3.59006;3.586378;3.587739;3.589147;3.594598;3.589552;3.590467;3.591898;3.580312;3.572442;3.581537;3.596502;3.598671;3.598873;3.586839,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,131072,3,default,none,3.39773,3.464593;3.451534;3.408434;3.409237;3.407548;3.404499;3.397727;3.400884;3.418204;3.411087;3.422534;3.398344;3.403806;3.401634;3.405625;3.412091;3.405375;3.40361;3.403283;3.411733;3.408676,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,524288,3,default,both,14.0669,14.073723;15.004813;14.112685;14.076826;14.102746;14.068401;14.068025;14.076956;14.071668;14.076556;14.067933;14.069059;14.08058;14.075595;14.071303;14.072977;14.072918;14.068427;14.083373;14.086623;14.066869,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,524288,3,default,none,13.3975,13.410788;13.397545;13.411408;13.410055;13.468433;13.408241;13.408203;13.409018;13.405384;13.409521;13.405879;13.411053;13.405066;13.414606;13.418711;13.4094;13.407602;13.416278;13.41154;13.40971;13.458666,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2097152,3,default,both,56.0178,56.026927;56.028415;56.188593;56.036377;56.02611;56.024462;56.022266;56.066677;56.02024;56.050733;56.017777;56.031965;56.037301;56.030292;56.084569;56.037024;56.041874;56.018338;56.023465;56.029245;56.121464,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2097152,3,default,none,53.4329,53.449696;53.607143;53.47835;53.443445;53.441794;53.43288;53.456461;53.433753;53.439009;53.438417;53.434004;53.441016;53.440343;53.449322;53.538472;53.443443;53.451759;53.446541;53.437967;60.415444;53.441373,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8388608,3,default,both,223.723,223.772423;223.783064;223.753238;223.723058;223.765687;223.748336;223.735138;223.821013;223.806385;223.80325;223.793601,nan,nan,nan,2026-09-08T10:43:51Z
cpp,linux_RTX-2060-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8388608,3,default,none,213.49,213.531924;213.494389;213.497472;213.489664;213.531811;213.704505;213.715713;213.575046;213.852349;213.519827;213.502689,nan,nan,nan,2026-09-08T10:43:51Z
