analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,0,1.797500
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,1,1.296100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,2,1.349500
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,3,1.314700
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,4,1.305100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,5,1.345200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,6,1.415600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,7,1.329200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,8,1.302500
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,9,1.333100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0625,131072,3,10,1.327000
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,0,1.476800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,1,1.442700
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,2,1.678800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,3,1.447800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,4,1.486600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,5,1.451800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,6,1.438300
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,7,1.492400
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,8,1.446000
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,9,1.447200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.03125,131072,3,10,1.469900
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,0,1.778800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,1,1.759400
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,2,1.758000
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,3,1.750800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,4,1.731800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,5,1.734200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,6,1.728900
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,7,1.728800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,8,1.729000
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,9,1.723300
wp,lorenz,classical-rk4,fixed,d2h,dt,0.015625,131072,3,10,1.747200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,0,2.351100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,1,2.289000
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,2,2.290100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,3,2.266300
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,4,2.272200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,5,2.274300
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,6,2.274300
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,7,2.295800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,8,2.281100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,9,2.316100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.0078125,131072,3,10,2.283600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,0,3.422600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,1,3.400100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,2,3.449900
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,3,3.401800
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,4,3.399600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,5,3.438200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,6,3.408100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,7,3.407900
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,8,3.443600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,9,3.533100
wp,lorenz,classical-rk4,fixed,d2h,dt,0.00390625,131072,3,10,3.434900
wp,lorenz,classical-rk4,fixed,d2h,dt,0.001953125,131072,3,0,5.641600
wp,lorenz,classical-rk4,fixed,d2h,dt,0.001953125,131072,3,1,5.699200
wp,lorenz,classical-rk4,fixed,d2h,dt,0.001953125,131072,3,2,5.624400
