analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,0,1.624900
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,1,1.613800
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,2,1.576100
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,3,1.605300
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,4,1.586500
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,5,1.674600
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,6,1.680800
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,7,1.682100
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,8,1.685100
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,9,1.730200
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,10,1.742300
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,11,1.704900
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,12,1.588600
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,13,1.610300
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,14,1.609300
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,15,1.597100
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,16,1.588100
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,17,1.590900
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,18,1.663200
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,19,1.668400
states,lorenz96,cash-karp-54,adaptive,none,none,nan,131072,4,20,1.661600
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,0,1.828200
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,1,1.757200
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,2,1.768100
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,3,1.760700
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,4,1.745500
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,5,1.784800
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,6,1.842600
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,7,1.846700
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,8,1.853000
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,9,1.848800
states,lorenz96,cash-karp-54,adaptive,both,none,nan,131072,4,10,1.858300
