analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,0,3081.898800
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,1,2363.866000
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,2,2775.803100
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,3,4347.138900
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,4,2342.115300
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,5,2132.101300
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,6,2792.447900
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,7,2840.459300
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,8,4377.898000
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,9,1917.673000
wp,pollu,classical-rk4,fixed,d2h,dt,3.75,131072,20,10,2228.743200
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,0,2143.368400
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,1,2357.091200
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,2,2550.683400
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,3,3593.860100
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,4,2243.832800
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,5,2909.702100
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,6,2666.063500
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,7,2245.392100
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,8,4620.501600
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,9,2582.545600
wp,pollu,classical-rk4,fixed,d2h,dt,1.875,131072,20,10,2701.252300
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,0,4528.492200
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,1,2455.799500
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,2,2261.680900
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,3,2667.273100
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,4,2470.978200
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,5,2839.052300
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,6,2626.279600
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,7,2495.076800
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,8,4693.612000
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,9,3381.576200
wp,pollu,classical-rk4,fixed,d2h,dt,0.9375,131072,20,10,2977.825300
wp,pollu,classical-rk4,fixed,d2h,dt,0.46875,131072,20,0,4501.589600
wp,pollu,classical-rk4,fixed,d2h,dt,0.46875,131072,20,1,2659.215000
