package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,samples_ms,errored_pct,error,build_s,recorded_utc
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8,3,default,both,0.1045,0.131;0.1349;0.1275;0.1279;0.1244;0.1225;0.1201;0.1211;0.1209;0.122;0.1235;0.1129;0.1107;0.1201;0.1135;0.1189;0.1187;0.1163;0.126;0.1045;0.1229,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8,3,default,none,0.0481,1.0752;0.053;0.0491;0.0507;0.0497;0.0481;0.0664;0.0647;0.0488;0.0486;0.0628;0.049;0.0484;0.0649;0.0491;0.0666;0.0494;0.0651;0.0489;0.0646;0.0649,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32,3,default,both,0.1029,0.1186;0.1029;0.1186;0.1177;0.1185;0.1211;0.1263;0.1029;0.1237;0.1342;0.1273;0.1143;0.1253;0.1092;0.1261;0.1142;0.1234;0.1192;0.1253;0.1162;0.1246,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32,3,default,none,0.0488,1.008;0.0527;0.0495;0.0493;0.0662;0.0654;0.0656;0.0644;0.0503;0.0649;0.0488;0.065;0.0652;0.0499;0.0498;0.0653;0.0653;0.0652;0.0496;0.0651;0.0654,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,128,3,default,both,0.1104,0.1318;0.1238;0.1197;0.1167;0.1243;0.1306;0.1251;0.1265;0.118;0.1117;0.1192;0.1251;0.1228;0.1192;0.1144;0.1286;0.1257;0.1104;0.1151;0.1221;0.1186,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,128,3,default,none,0.0484,0.9822;0.0674;0.0497;0.066;0.0675;0.0494;0.0487;0.0488;0.0488;0.0496;0.0486;0.0668;0.0662;0.0686;0.0665;0.0663;0.0487;0.0659;0.0498;0.0484;0.0676,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,512,3,default,both,0.108,0.1603;0.1147;0.1139;0.1313;0.1285;0.108;0.1306;0.1229;0.1296;0.124;0.1276;0.1305;0.1113;0.1269;0.1305;0.1278;0.1275;0.1269;0.1114;0.1309;0.128,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,512,3,default,none,0.0526,1.0305;0.0529;0.0743;0.075;0.0697;0.078;0.0688;0.076;0.069;0.0694;0.0745;0.0696;0.0748;0.0691;0.075;0.0653;0.0526;0.0799;0.0693;0.07;0.0632,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2048,3,default,both,0.1179,0.1556;0.1287;0.1379;0.1179;0.1217;0.1203;0.1298;0.1206;0.1359;0.1275;0.129;0.1277;0.1282;0.1292;0.1374;0.1291;0.1283;0.178;0.1278;0.1276;0.1282,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,2048,3,default,none,0.0725,1.0716;0.0863;0.082;0.0781;0.0796;0.0785;0.0752;0.0785;0.0781;0.0747;0.0831;0.0725;0.0832;0.0829;0.0832;0.076;0.0817;0.0825;0.0738;0.083;0.0823,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8192,3,default,both,0.1814,0.2054;0.1938;0.1817;0.1826;0.186;0.183;0.182;0.1827;0.1839;0.1814;0.2461;0.186;0.1878;0.1839;0.1829;0.1838;0.1844;0.1837;0.1863;0.1833;0.192,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,8192,3,default,none,0.1286,1.0348;0.1286;0.1296;0.1357;0.1344;0.1342;0.1353;0.1364;0.1358;0.1338;0.1347;0.1339;0.1411;0.1329;0.1335;0.1359;0.1348;0.1335;0.1364;0.1357;0.1358,nan,nan,nan,2026-09-08T05:44:48Z
cpp,windows_RTX-4070-SUPER,times,lorenz,cash-karp-54,adaptive,tol,1e-05,32768,3,default,both,0.4785,0.6;0.5073;0.5448;0.4852;0.4822;0.4826;0.5512;0.4932;0.4816;0.4788;0.5023;0.5151;0.4817;0.4785;0.5015;0.4821;0.48;0.5392;0.524;0.4806;0.4826,nan,nan,nan,2026-09-08T05:44:48Z
