analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,0,2980.906600
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,1,4181.880600
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,2,4421.206000
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,3,3060.810100
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,4,2860.176200
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,5,2698.974900
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,6,2574.030500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,7,3382.664300
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,8,2887.520700
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,9,3057.593600
wp,ring_modulator,classical-rk4,fixed,d2h,dt,6.25e-05,131072,15,10,2094.432400
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,0,2536.919700
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,1,5008.138100
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,2,4446.128800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,3,2288.737500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,4,2938.884200
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,5,3125.983500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,6,2444.394700
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,7,3544.255300
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,8,2946.113000
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,9,2383.465900
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.125e-05,131072,15,10,3104.491100
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,0,2933.514100
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,1,2532.535800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,2,2582.468500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,3,2615.731700
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,4,3795.355300
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,5,2690.720000
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,6,3058.487800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,7,2443.342500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,8,4004.751700
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,9,3999.175800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,1.5625e-05,131072,15,10,2929.193600
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,0,3062.947300
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,1,2430.812200
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,2,3439.196000
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,3,4094.136200
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,4,2439.483800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,5,2363.493500
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,6,3004.923400
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,7,2712.889800
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,8,3913.270600
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,9,3087.080200
wp,ring_modulator,classical-rk4,fixed,d2h,dt,7.8125e-06,131072,15,10,2795.123900
wp,ring_modulator,classical-rk4,fixed,d2h,dt,3.90625e-06,131072,15,0,2428.850900
