analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,0,133.587434
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,1,132.782036
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,2,131.159431
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,3,131.963894
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,4,132.274728
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,5,131.326138
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,6,131.745446
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,7,131.797262
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,8,131.702215
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,9,132.273175
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,10,131.523679
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,11,132.840568
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,12,132.152860
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,13,132.055232
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,14,131.451361
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,15,133.295576
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,16,139.838558
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,17,132.906566
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,18,132.667269
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,19,131.775243
times,lorenz,kvaerno3,adaptive,both,none,nan,8,3,20,131.960584
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,0,130.820295
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,1,131.004191
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,2,131.695105
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,3,133.059515
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,4,130.441852
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,5,131.335435
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,6,131.132221
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,7,131.505071
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,8,131.198129
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,9,131.267881
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,10,131.154731
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,11,132.489606
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,12,130.325853
times,lorenz,kvaerno3,adaptive,none,none,nan,8,3,13,130.565669
