analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,0,629.695475
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,1,610.486118
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,2,599.962426
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,3,615.995225
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,4,608.740003
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,5,609.404541
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,6,606.647147
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,7,604.795978
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,8,610.204541
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,9,611.898480
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,10,599.603720
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,0,602.876185
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,1,611.592222
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,2,616.378562
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,3,623.107149
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,4,602.035765
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,5,616.548324
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,6,609.586758
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,7,592.349364
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,8,615.398790
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,9,591.146936
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,10,611.530670
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,0,606.564857
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,1,603.703079
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,2,591.111326
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,3,603.653432
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,4,586.684006
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,5,592.260851
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,6,602.893404
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,7,590.257630
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,8,594.303008
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,9,580.405976
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,10,594.395393
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,0,602.318849
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,1,588.638688
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,2,601.572670
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,3,590.728522
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,4,595.111835
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,5,597.640430
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,6,595.964382
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,7,597.652102
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,8,601.503951
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,9,601.464386
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,10,598.541051
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,0,570.204608
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,1,555.450974
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,2,578.696584
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,3,557.102242
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,4,557.759742
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,5,557.032135
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,6,553.805320
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,7,556.351400
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,8,555.045316
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,9,560.936205
times,lorenz,kvaerno3,fixed,both,none,nan,8,3,10,555.060766
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,0,556.236211
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,1,566.104830
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,2,563.356356
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,3,569.910707
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,4,569.670477
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,5,569.742091
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,6,569.607452
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,7,569.819813
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,8,569.306746
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,9,568.153074
times,lorenz,kvaerno3,fixed,none,none,nan,8,3,10,568.996484
