analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,tsit5,fixed,both,none,nan,8,3,0,142.849135
times,lorenz,tsit5,fixed,both,none,nan,8,3,1,137.828357
times,lorenz,tsit5,fixed,both,none,nan,8,3,2,139.249547
times,lorenz,tsit5,fixed,both,none,nan,8,3,3,139.544782
times,lorenz,tsit5,fixed,both,none,nan,8,3,4,139.659338
times,lorenz,tsit5,fixed,both,none,nan,8,3,5,138.051433
times,lorenz,tsit5,fixed,both,none,nan,8,3,6,139.711760
times,lorenz,tsit5,fixed,both,none,nan,8,3,7,139.086540
times,lorenz,tsit5,fixed,both,none,nan,8,3,8,138.411441
times,lorenz,tsit5,fixed,both,none,nan,8,3,9,140.284791
times,lorenz,tsit5,fixed,both,none,nan,8,3,10,140.269257
times,lorenz,tsit5,fixed,both,none,nan,8,3,11,140.205662
times,lorenz,tsit5,fixed,both,none,nan,8,3,12,139.738509
times,lorenz,tsit5,fixed,both,none,nan,8,3,13,138.491430
times,lorenz,tsit5,fixed,both,none,nan,8,3,14,139.260272
times,lorenz,tsit5,fixed,both,none,nan,8,3,15,140.912193
times,lorenz,tsit5,fixed,both,none,nan,8,3,16,137.376060
times,lorenz,tsit5,fixed,both,none,nan,8,3,17,138.158430
times,lorenz,tsit5,fixed,both,none,nan,8,3,18,138.522350
times,lorenz,tsit5,fixed,both,none,nan,8,3,19,140.129286
times,lorenz,tsit5,fixed,both,none,nan,8,3,20,138.180864
times,lorenz,tsit5,fixed,none,none,nan,8,3,0,137.429190
times,lorenz,tsit5,fixed,none,none,nan,8,3,1,137.482307
times,lorenz,tsit5,fixed,none,none,nan,8,3,2,137.632740
times,lorenz,tsit5,fixed,none,none,nan,8,3,3,139.799953
times,lorenz,tsit5,fixed,none,none,nan,8,3,4,137.753084
times,lorenz,tsit5,fixed,none,none,nan,8,3,5,139.591003
times,lorenz,tsit5,fixed,none,none,nan,8,3,6,138.550778
times,lorenz,tsit5,fixed,none,none,nan,8,3,7,137.965242
times,lorenz,tsit5,fixed,none,none,nan,8,3,8,137.599325
times,lorenz,tsit5,fixed,none,none,nan,8,3,9,137.386421
times,lorenz,tsit5,fixed,none,none,nan,8,3,10,138.502224
times,lorenz,tsit5,fixed,none,none,nan,8,3,11,137.303048
times,lorenz,tsit5,fixed,none,none,nan,8,3,12,137.163522
times,lorenz,tsit5,fixed,none,none,nan,8,3,13,136.501235
times,lorenz,tsit5,fixed,none,none,nan,8,3,14,138.191257
times,lorenz,tsit5,fixed,none,none,nan,8,3,15,137.349998
times,lorenz,tsit5,fixed,none,none,nan,8,3,16,139.809106
times,lorenz,tsit5,fixed,none,none,nan,8,3,17,138.258295
times,lorenz,tsit5,fixed,none,none,nan,8,3,18,137.340867
times,lorenz,tsit5,fixed,none,none,nan,8,3,19,137.837955
times,lorenz,tsit5,fixed,none,none,nan,8,3,20,137.404745
times,lorenz,tsit5,fixed,both,none,nan,32,3,0,136.496049
times,lorenz,tsit5,fixed,both,none,nan,32,3,1,139.113062
times,lorenz,tsit5,fixed,both,none,nan,32,3,2,145.576911
times,lorenz,tsit5,fixed,both,none,nan,32,3,3,140.392191
times,lorenz,tsit5,fixed,both,none,nan,32,3,4,137.294693
times,lorenz,tsit5,fixed,both,none,nan,32,3,5,138.583500
times,lorenz,tsit5,fixed,both,none,nan,32,3,6,138.817620
times,lorenz,tsit5,fixed,both,none,nan,32,3,7,140.847126
times,lorenz,tsit5,fixed,both,none,nan,32,3,8,139.268012
times,lorenz,tsit5,fixed,both,none,nan,32,3,9,140.098820
times,lorenz,tsit5,fixed,both,none,nan,32,3,10,137.804617
times,lorenz,tsit5,fixed,both,none,nan,32,3,11,139.524779
times,lorenz,tsit5,fixed,both,none,nan,32,3,12,138.305902
times,lorenz,tsit5,fixed,both,none,nan,32,3,13,138.309898
times,lorenz,tsit5,fixed,both,none,nan,32,3,14,138.614503
times,lorenz,tsit5,fixed,both,none,nan,32,3,15,139.147485
times,lorenz,tsit5,fixed,both,none,nan,32,3,16,138.170123
times,lorenz,tsit5,fixed,both,none,nan,32,3,17,137.036594
times,lorenz,tsit5,fixed,both,none,nan,32,3,18,137.125920
times,lorenz,tsit5,fixed,both,none,nan,32,3,19,136.931188
times,lorenz,tsit5,fixed,both,none,nan,32,3,20,140.720723
times,lorenz,tsit5,fixed,none,none,nan,32,3,0,138.042969
times,lorenz,tsit5,fixed,none,none,nan,32,3,1,138.902139
times,lorenz,tsit5,fixed,none,none,nan,32,3,2,136.922739
times,lorenz,tsit5,fixed,none,none,nan,32,3,3,137.372546
times,lorenz,tsit5,fixed,none,none,nan,32,3,4,137.242816
times,lorenz,tsit5,fixed,none,none,nan,32,3,5,137.525385
times,lorenz,tsit5,fixed,none,none,nan,32,3,6,137.129492
times,lorenz,tsit5,fixed,none,none,nan,32,3,7,135.606664
times,lorenz,tsit5,fixed,none,none,nan,32,3,8,136.605820
times,lorenz,tsit5,fixed,none,none,nan,32,3,9,136.745334
times,lorenz,tsit5,fixed,none,none,nan,32,3,10,136.908789
times,lorenz,tsit5,fixed,none,none,nan,32,3,11,138.627031
times,lorenz,tsit5,fixed,none,none,nan,32,3,12,136.053019
times,lorenz,tsit5,fixed,none,none,nan,32,3,13,136.680967
times,lorenz,tsit5,fixed,none,none,nan,32,3,14,137.021761
times,lorenz,tsit5,fixed,none,none,nan,32,3,15,138.118137
times,lorenz,tsit5,fixed,none,none,nan,32,3,16,137.979997
times,lorenz,tsit5,fixed,none,none,nan,32,3,17,138.806355
times,lorenz,tsit5,fixed,none,none,nan,32,3,18,139.220244
times,lorenz,tsit5,fixed,none,none,nan,32,3,19,139.011031
times,lorenz,tsit5,fixed,none,none,nan,32,3,20,138.237460
times,lorenz,tsit5,fixed,both,none,nan,128,3,0,137.472567
times,lorenz,tsit5,fixed,both,none,nan,128,3,1,138.230559
times,lorenz,tsit5,fixed,both,none,nan,128,3,2,138.202767
times,lorenz,tsit5,fixed,both,none,nan,128,3,3,137.950312
times,lorenz,tsit5,fixed,both,none,nan,128,3,4,138.002560
times,lorenz,tsit5,fixed,both,none,nan,128,3,5,138.819034
times,lorenz,tsit5,fixed,both,none,nan,128,3,6,138.156379
times,lorenz,tsit5,fixed,both,none,nan,128,3,7,136.591830
times,lorenz,tsit5,fixed,both,none,nan,128,3,8,143.078614
times,lorenz,tsit5,fixed,both,none,nan,128,3,9,138.458692
times,lorenz,tsit5,fixed,both,none,nan,128,3,10,139.443001
times,lorenz,tsit5,fixed,both,none,nan,128,3,11,204.292023
times,lorenz,tsit5,fixed,both,none,nan,128,3,12,140.827884
times,lorenz,tsit5,fixed,both,none,nan,128,3,13,139.393497
times,lorenz,tsit5,fixed,both,none,nan,128,3,14,139.313298
times,lorenz,tsit5,fixed,both,none,nan,128,3,15,140.273292
times,lorenz,tsit5,fixed,both,none,nan,128,3,16,140.373822
times,lorenz,tsit5,fixed,both,none,nan,128,3,17,140.792645
times,lorenz,tsit5,fixed,both,none,nan,128,3,18,140.394349
times,lorenz,tsit5,fixed,both,none,nan,128,3,19,141.430054
times,lorenz,tsit5,fixed,both,none,nan,128,3,20,140.353346
times,lorenz,tsit5,fixed,none,none,nan,128,3,0,137.565333
times,lorenz,tsit5,fixed,none,none,nan,128,3,1,140.512878
times,lorenz,tsit5,fixed,none,none,nan,128,3,2,140.561682
times,lorenz,tsit5,fixed,none,none,nan,128,3,3,140.957164
times,lorenz,tsit5,fixed,none,none,nan,128,3,4,141.144627
times,lorenz,tsit5,fixed,none,none,nan,128,3,5,139.728074
times,lorenz,tsit5,fixed,none,none,nan,128,3,6,140.508836
times,lorenz,tsit5,fixed,none,none,nan,128,3,7,138.367111
times,lorenz,tsit5,fixed,none,none,nan,128,3,8,140.877172
times,lorenz,tsit5,fixed,none,none,nan,128,3,9,139.146721
times,lorenz,tsit5,fixed,none,none,nan,128,3,10,140.891336
times,lorenz,tsit5,fixed,none,none,nan,128,3,11,141.590506
times,lorenz,tsit5,fixed,none,none,nan,128,3,12,141.096533
times,lorenz,tsit5,fixed,none,none,nan,128,3,13,140.973026
times,lorenz,tsit5,fixed,none,none,nan,128,3,14,139.810385
times,lorenz,tsit5,fixed,none,none,nan,128,3,15,138.703600
times,lorenz,tsit5,fixed,none,none,nan,128,3,16,140.956402
times,lorenz,tsit5,fixed,none,none,nan,128,3,17,141.042208
times,lorenz,tsit5,fixed,none,none,nan,128,3,18,141.167887
times,lorenz,tsit5,fixed,none,none,nan,128,3,19,139.405131
times,lorenz,tsit5,fixed,none,none,nan,128,3,20,141.346477
times,lorenz,tsit5,fixed,both,none,nan,512,3,0,140.709816
times,lorenz,tsit5,fixed,both,none,nan,512,3,1,140.482225
times,lorenz,tsit5,fixed,both,none,nan,512,3,2,139.706192
times,lorenz,tsit5,fixed,both,none,nan,512,3,3,140.595539
times,lorenz,tsit5,fixed,both,none,nan,512,3,4,140.541461
times,lorenz,tsit5,fixed,both,none,nan,512,3,5,146.202744
times,lorenz,tsit5,fixed,both,none,nan,512,3,6,139.500289
times,lorenz,tsit5,fixed,both,none,nan,512,3,7,140.473570
