analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,0,49.854692
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,1,50.236749
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,2,49.023472
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,3,48.986160
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,4,49.219357
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,5,49.311130
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,6,49.204964
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,7,48.636200
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,8,48.590867
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,9,49.183670
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,10,48.928444
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,11,49.193078
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,12,49.105740
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,13,49.115600
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,14,49.294623
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,15,49.065071
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,16,48.812572
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,17,48.664081
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,18,48.750545
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,19,49.091397
states,lorenz96,tsit5,adaptive,both,none,nan,131072,4,20,48.903468
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,0,47.209027
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,1,47.275403
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,2,47.203939
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,3,47.303712
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,4,47.195472
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,5,47.172494
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,6,47.258199
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,7,47.295987
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,8,46.335417
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,9,47.229996
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,10,47.171872
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,11,47.199621
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,12,47.295136
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,13,47.283831
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,14,47.213568
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,15,47.505927
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,16,47.179695
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,17,47.143417
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,18,47.312966
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,19,47.216845
states,lorenz96,tsit5,adaptive,none,none,nan,131072,4,20,47.237843
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,0,94.881592
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,1,95.085884
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,2,94.078593
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,3,93.972537
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,4,94.339093
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,5,94.175419
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,6,94.433011
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,7,94.640531
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,8,95.183441
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,9,95.016590
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,10,95.126893
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,11,94.728566
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,12,94.444334
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,13,94.063150
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,14,94.004366
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,15,94.039079
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,16,94.101496
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,17,94.592437
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,18,94.698642
states,lorenz96,tsit5,adaptive,both,none,nan,131072,8,19,94.899581
