analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,euler,fixed,both,none,nan,131072,4,0,36.184531
states,lorenz96,euler,fixed,both,none,nan,131072,4,1,34.666893
states,lorenz96,euler,fixed,both,none,nan,131072,4,2,38.513539
states,lorenz96,euler,fixed,both,none,nan,131072,4,3,34.563296
states,lorenz96,euler,fixed,both,none,nan,131072,4,4,33.385498
states,lorenz96,euler,fixed,both,none,nan,131072,4,5,38.932125
states,lorenz96,euler,fixed,both,none,nan,131072,4,6,33.269613
states,lorenz96,euler,fixed,both,none,nan,131072,4,7,34.207729
states,lorenz96,euler,fixed,both,none,nan,131072,4,8,38.062416
states,lorenz96,euler,fixed,both,none,nan,131072,4,9,37.314062
states,lorenz96,euler,fixed,both,none,nan,131072,4,10,37.890750
states,lorenz96,euler,fixed,both,none,nan,131072,4,11,39.103526
states,lorenz96,euler,fixed,both,none,nan,131072,4,12,33.134291
states,lorenz96,euler,fixed,both,none,nan,131072,4,13,34.175132
states,lorenz96,euler,fixed,both,none,nan,131072,4,14,36.326386
states,lorenz96,euler,fixed,both,none,nan,131072,4,15,39.046546
states,lorenz96,euler,fixed,both,none,nan,131072,4,16,38.135947
states,lorenz96,euler,fixed,both,none,nan,131072,4,17,37.619613
states,lorenz96,euler,fixed,both,none,nan,131072,4,18,33.440016
states,lorenz96,euler,fixed,both,none,nan,131072,4,19,34.270931
states,lorenz96,euler,fixed,both,none,nan,131072,4,20,34.476842
states,lorenz96,euler,fixed,none,none,nan,131072,4,0,37.226182
states,lorenz96,euler,fixed,none,none,nan,131072,4,1,31.603170
states,lorenz96,euler,fixed,none,none,nan,131072,4,2,32.371332
states,lorenz96,euler,fixed,none,none,nan,131072,4,3,36.067862
states,lorenz96,euler,fixed,none,none,nan,131072,4,4,31.538594
states,lorenz96,euler,fixed,none,none,nan,131072,4,5,34.463521
states,lorenz96,euler,fixed,none,none,nan,131072,4,6,36.218645
states,lorenz96,euler,fixed,none,none,nan,131072,4,7,31.297206
states,lorenz96,euler,fixed,none,none,nan,131072,4,8,31.586947
states,lorenz96,euler,fixed,none,none,nan,131072,4,9,31.313533
states,lorenz96,euler,fixed,none,none,nan,131072,4,10,36.431304
states,lorenz96,euler,fixed,none,none,nan,131072,4,11,31.362712
states,lorenz96,euler,fixed,none,none,nan,131072,4,12,31.463741
states,lorenz96,euler,fixed,none,none,nan,131072,4,13,36.301986
states,lorenz96,euler,fixed,none,none,nan,131072,4,14,31.513249
states,lorenz96,euler,fixed,none,none,nan,131072,4,15,31.235014
states,lorenz96,euler,fixed,none,none,nan,131072,4,16,36.496771
states,lorenz96,euler,fixed,none,none,nan,131072,4,17,31.414191
states,lorenz96,euler,fixed,none,none,nan,131072,4,18,31.836577
states,lorenz96,euler,fixed,none,none,nan,131072,4,19,36.387238
states,lorenz96,euler,fixed,none,none,nan,131072,4,20,36.615983
states,lorenz96,euler,fixed,both,none,nan,131072,8,0,69.123013
states,lorenz96,euler,fixed,both,none,nan,131072,8,1,77.992104
states,lorenz96,euler,fixed,both,none,nan,131072,8,2,75.445672
states,lorenz96,euler,fixed,both,none,nan,131072,8,3,67.276313
states,lorenz96,euler,fixed,both,none,nan,131072,8,4,71.645454
states,lorenz96,euler,fixed,both,none,nan,131072,8,5,81.012283
states,lorenz96,euler,fixed,both,none,nan,131072,8,6,70.942166
