analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,euler,fixed,both,none,nan,8,32,0,21.260901
times,lorenz96,euler,fixed,both,none,nan,8,32,1,20.479591
times,lorenz96,euler,fixed,both,none,nan,8,32,2,20.231819
times,lorenz96,euler,fixed,both,none,nan,8,32,3,20.719589
times,lorenz96,euler,fixed,both,none,nan,8,32,4,20.884186
times,lorenz96,euler,fixed,both,none,nan,8,32,5,20.537507
times,lorenz96,euler,fixed,both,none,nan,8,32,6,20.389021
times,lorenz96,euler,fixed,both,none,nan,8,32,7,20.240014
times,lorenz96,euler,fixed,both,none,nan,8,32,8,20.075555
times,lorenz96,euler,fixed,both,none,nan,8,32,9,20.374240
times,lorenz96,euler,fixed,both,none,nan,8,32,10,20.332168
times,lorenz96,euler,fixed,both,none,nan,8,32,11,20.306751
times,lorenz96,euler,fixed,both,none,nan,8,32,12,20.578835
times,lorenz96,euler,fixed,both,none,nan,8,32,13,20.480225
times,lorenz96,euler,fixed,both,none,nan,8,32,14,20.497042
times,lorenz96,euler,fixed,both,none,nan,8,32,15,20.392150
times,lorenz96,euler,fixed,both,none,nan,8,32,16,20.441755
times,lorenz96,euler,fixed,both,none,nan,8,32,17,20.487327
times,lorenz96,euler,fixed,both,none,nan,8,32,18,20.719578
times,lorenz96,euler,fixed,both,none,nan,8,32,19,20.426224
times,lorenz96,euler,fixed,both,none,nan,8,32,20,20.454431
times,lorenz96,euler,fixed,none,none,nan,8,32,0,19.794719
times,lorenz96,euler,fixed,none,none,nan,8,32,1,19.753497
times,lorenz96,euler,fixed,none,none,nan,8,32,2,19.680051
times,lorenz96,euler,fixed,none,none,nan,8,32,3,19.704753
times,lorenz96,euler,fixed,none,none,nan,8,32,4,19.676500
times,lorenz96,euler,fixed,none,none,nan,8,32,5,19.711729
times,lorenz96,euler,fixed,none,none,nan,8,32,6,19.721622
times,lorenz96,euler,fixed,none,none,nan,8,32,7,19.610743
times,lorenz96,euler,fixed,none,none,nan,8,32,8,19.548297
times,lorenz96,euler,fixed,none,none,nan,8,32,9,19.782225
times,lorenz96,euler,fixed,none,none,nan,8,32,10,19.633922
times,lorenz96,euler,fixed,none,none,nan,8,32,11,17.833989
times,lorenz96,euler,fixed,none,none,nan,8,32,12,19.613955
times,lorenz96,euler,fixed,none,none,nan,8,32,13,19.601725
times,lorenz96,euler,fixed,none,none,nan,8,32,14,19.594853
times,lorenz96,euler,fixed,none,none,nan,8,32,15,19.727051
times,lorenz96,euler,fixed,none,none,nan,8,32,16,19.670950
times,lorenz96,euler,fixed,none,none,nan,8,32,17,19.655417
times,lorenz96,euler,fixed,none,none,nan,8,32,18,19.567048
times,lorenz96,euler,fixed,none,none,nan,8,32,19,19.551791
times,lorenz96,euler,fixed,none,none,nan,8,32,20,19.720583
times,lorenz96,euler,fixed,both,none,nan,32,32,0,21.309194
times,lorenz96,euler,fixed,both,none,nan,32,32,1,20.740996
times,lorenz96,euler,fixed,both,none,nan,32,32,2,20.429892
times,lorenz96,euler,fixed,both,none,nan,32,32,3,20.675312
times,lorenz96,euler,fixed,both,none,nan,32,32,4,20.390668
times,lorenz96,euler,fixed,both,none,nan,32,32,5,20.628628
times,lorenz96,euler,fixed,both,none,nan,32,32,6,20.457464
times,lorenz96,euler,fixed,both,none,nan,32,32,7,20.307072
times,lorenz96,euler,fixed,both,none,nan,32,32,8,20.809449
times,lorenz96,euler,fixed,both,none,nan,32,32,9,20.743136
times,lorenz96,euler,fixed,both,none,nan,32,32,10,20.375683
times,lorenz96,euler,fixed,both,none,nan,32,32,11,20.296657
times,lorenz96,euler,fixed,both,none,nan,32,32,12,20.421189
times,lorenz96,euler,fixed,both,none,nan,32,32,13,20.539529
times,lorenz96,euler,fixed,both,none,nan,32,32,14,20.493352
times,lorenz96,euler,fixed,both,none,nan,32,32,15,20.528924
times,lorenz96,euler,fixed,both,none,nan,32,32,16,20.495118
times,lorenz96,euler,fixed,both,none,nan,32,32,17,20.601528
times,lorenz96,euler,fixed,both,none,nan,32,32,18,20.693268
times,lorenz96,euler,fixed,both,none,nan,32,32,19,20.440447
times,lorenz96,euler,fixed,both,none,nan,32,32,20,20.628829
times,lorenz96,euler,fixed,none,none,nan,32,32,0,19.892329
times,lorenz96,euler,fixed,none,none,nan,32,32,1,19.910687
times,lorenz96,euler,fixed,none,none,nan,32,32,2,19.807427
times,lorenz96,euler,fixed,none,none,nan,32,32,3,19.829855
times,lorenz96,euler,fixed,none,none,nan,32,32,4,19.946002
times,lorenz96,euler,fixed,none,none,nan,32,32,5,19.921501
times,lorenz96,euler,fixed,none,none,nan,32,32,6,19.991799
times,lorenz96,euler,fixed,none,none,nan,32,32,7,19.847249
times,lorenz96,euler,fixed,none,none,nan,32,32,8,19.906613
times,lorenz96,euler,fixed,none,none,nan,32,32,9,19.768634
times,lorenz96,euler,fixed,none,none,nan,32,32,10,19.846617
