analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,tsit5,fixed,both,none,nan,8,32,0,138.104168
times,lorenz96,tsit5,fixed,both,none,nan,8,32,1,132.805285
times,lorenz96,tsit5,fixed,both,none,nan,8,32,2,133.673169
times,lorenz96,tsit5,fixed,both,none,nan,8,32,3,132.417280
times,lorenz96,tsit5,fixed,both,none,nan,8,32,4,131.547890
times,lorenz96,tsit5,fixed,both,none,nan,8,32,5,132.274275
times,lorenz96,tsit5,fixed,both,none,nan,8,32,6,132.849817
times,lorenz96,tsit5,fixed,both,none,nan,8,32,7,134.673315
times,lorenz96,tsit5,fixed,both,none,nan,8,32,8,133.232545
times,lorenz96,tsit5,fixed,both,none,nan,8,32,9,132.303745
times,lorenz96,tsit5,fixed,both,none,nan,8,32,10,132.944241
times,lorenz96,tsit5,fixed,both,none,nan,8,32,11,133.112362
times,lorenz96,tsit5,fixed,both,none,nan,8,32,12,131.223777
times,lorenz96,tsit5,fixed,both,none,nan,8,32,13,132.545742
times,lorenz96,tsit5,fixed,both,none,nan,8,32,14,132.298744
times,lorenz96,tsit5,fixed,both,none,nan,8,32,15,132.853702
times,lorenz96,tsit5,fixed,both,none,nan,8,32,16,132.565963
times,lorenz96,tsit5,fixed,both,none,nan,8,32,17,132.583804
times,lorenz96,tsit5,fixed,both,none,nan,8,32,18,132.646563
times,lorenz96,tsit5,fixed,both,none,nan,8,32,19,131.141629
times,lorenz96,tsit5,fixed,both,none,nan,8,32,20,131.996840
times,lorenz96,tsit5,fixed,none,none,nan,8,32,0,132.258547
times,lorenz96,tsit5,fixed,none,none,nan,8,32,1,131.667568
times,lorenz96,tsit5,fixed,none,none,nan,8,32,2,131.851441
times,lorenz96,tsit5,fixed,none,none,nan,8,32,3,133.717944
times,lorenz96,tsit5,fixed,none,none,nan,8,32,4,133.834897
times,lorenz96,tsit5,fixed,none,none,nan,8,32,5,131.764957
times,lorenz96,tsit5,fixed,none,none,nan,8,32,6,130.617614
times,lorenz96,tsit5,fixed,none,none,nan,8,32,7,132.716241
times,lorenz96,tsit5,fixed,none,none,nan,8,32,8,131.959940
times,lorenz96,tsit5,fixed,none,none,nan,8,32,9,132.368235
times,lorenz96,tsit5,fixed,none,none,nan,8,32,10,131.439572
times,lorenz96,tsit5,fixed,none,none,nan,8,32,11,131.986947
times,lorenz96,tsit5,fixed,none,none,nan,8,32,12,131.798591
times,lorenz96,tsit5,fixed,none,none,nan,8,32,13,132.456266
times,lorenz96,tsit5,fixed,none,none,nan,8,32,14,130.303540
times,lorenz96,tsit5,fixed,none,none,nan,8,32,15,133.463973
times,lorenz96,tsit5,fixed,none,none,nan,8,32,16,131.972686
times,lorenz96,tsit5,fixed,none,none,nan,8,32,17,132.409092
times,lorenz96,tsit5,fixed,none,none,nan,8,32,18,131.164652
times,lorenz96,tsit5,fixed,none,none,nan,8,32,19,132.138927
times,lorenz96,tsit5,fixed,none,none,nan,8,32,20,131.377571
times,lorenz96,tsit5,fixed,both,none,nan,32,32,0,138.136681
times,lorenz96,tsit5,fixed,both,none,nan,32,32,1,133.402651
times,lorenz96,tsit5,fixed,both,none,nan,32,32,2,133.898062
times,lorenz96,tsit5,fixed,both,none,nan,32,32,3,134.086484
times,lorenz96,tsit5,fixed,both,none,nan,32,32,4,134.661010
times,lorenz96,tsit5,fixed,both,none,nan,32,32,5,132.637292
times,lorenz96,tsit5,fixed,both,none,nan,32,32,6,138.607528
times,lorenz96,tsit5,fixed,both,none,nan,32,32,7,133.016646
times,lorenz96,tsit5,fixed,both,none,nan,32,32,8,132.488629
times,lorenz96,tsit5,fixed,both,none,nan,32,32,9,133.631070
times,lorenz96,tsit5,fixed,both,none,nan,32,32,10,135.619947
times,lorenz96,tsit5,fixed,both,none,nan,32,32,11,136.949993
times,lorenz96,tsit5,fixed,both,none,nan,32,32,12,135.932841
times,lorenz96,tsit5,fixed,both,none,nan,32,32,13,137.858646
times,lorenz96,tsit5,fixed,both,none,nan,32,32,14,133.156676
times,lorenz96,tsit5,fixed,both,none,nan,32,32,15,133.823504
times,lorenz96,tsit5,fixed,both,none,nan,32,32,16,134.501252
times,lorenz96,tsit5,fixed,both,none,nan,32,32,17,133.081803
times,lorenz96,tsit5,fixed,both,none,nan,32,32,18,135.429930
times,lorenz96,tsit5,fixed,both,none,nan,32,32,19,135.048690
times,lorenz96,tsit5,fixed,both,none,nan,32,32,20,135.317630
times,lorenz96,tsit5,fixed,none,none,nan,32,32,0,133.549434
times,lorenz96,tsit5,fixed,none,none,nan,32,32,1,133.900880
times,lorenz96,tsit5,fixed,none,none,nan,32,32,2,136.398978
times,lorenz96,tsit5,fixed,none,none,nan,32,32,3,136.384513
times,lorenz96,tsit5,fixed,none,none,nan,32,32,4,136.560815
times,lorenz96,tsit5,fixed,none,none,nan,32,32,5,138.401276
times,lorenz96,tsit5,fixed,none,none,nan,32,32,6,137.640106
times,lorenz96,tsit5,fixed,none,none,nan,32,32,7,134.382885
times,lorenz96,tsit5,fixed,none,none,nan,32,32,8,135.966966
times,lorenz96,tsit5,fixed,none,none,nan,32,32,9,133.403173
times,lorenz96,tsit5,fixed,none,none,nan,32,32,10,136.837026
