analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,0,339.590637
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,1,73.995717
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,2,73.857800
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,3,73.768680
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,4,73.869522
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,5,73.937127
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,6,73.937398
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,7,74.001113
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,8,73.985358
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,9,73.859661
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,10,73.951479
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,11,73.940094
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,12,73.855846
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,13,73.973891
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,14,74.015005
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,15,73.990089
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,16,73.980595
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,17,73.844360
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,18,73.832560
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,19,73.950347
wp,lorenz96,tsit5,fixed,none,dt,0.0625,131072,32,20,73.875180
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,0,407.172724
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,1,146.616857
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,2,146.556687
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,3,146.467007
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,4,146.668137
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,5,146.748259
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,6,146.537590
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,7,146.647977
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,8,146.555763
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,9,146.681914
wp,lorenz96,tsit5,fixed,none,dt,0.03125,131072,32,10,146.442416
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,0,704.790547
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,1,292.285173
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,2,292.029754
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,3,292.368114
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,4,292.051199
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,5,292.150072
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,6,292.103593
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,7,292.448832
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,8,292.197576
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,9,292.259749
wp,lorenz96,tsit5,fixed,none,dt,0.015625,131072,32,10,292.216332
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,0,845.581030
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,1,583.163947
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,2,582.771003
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,3,583.133456
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,4,582.970940
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,5,583.278981
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,6,588.626531
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,7,583.306468
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,8,583.398507
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,9,583.104682
wp,lorenz96,tsit5,fixed,none,dt,0.0078125,131072,32,10,582.913168
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,0,1419.768519
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,1,1164.853498
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,2,1164.244098
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,3,1164.973524
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,4,1164.043664
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,5,1165.784810
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,6,1163.790294
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,7,1164.931940
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,8,1163.957181
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,9,1164.790189
wp,lorenz96,tsit5,fixed,none,dt,0.00390625,131072,32,10,1163.794516
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,0,2583.482445
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,1,2356.142467
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,2,2328.087962
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,3,2329.142552
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,4,2327.895042
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,5,2328.320125
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,6,2327.015736
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,7,2328.374493
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,8,2327.069793
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,9,2328.657155
wp,lorenz96,tsit5,fixed,none,dt,0.001953125,131072,32,10,2327.133358
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,0,4926.535724
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,1,4656.979852
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,2,4652.727603
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,3,4657.064227
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,4,4653.466382
wp,lorenz96,tsit5,fixed,none,dt,0.0009765625,131072,32,5,4656.201751
wp,lorenz96,tsit5,fixed,none,dt,0.00048828125,131072,32,0,9598.185851
wp,lorenz96,tsit5,fixed,none,dt,0.00048828125,131072,32,1,9316.869896
wp,lorenz96,tsit5,fixed,none,dt,0.00048828125,131072,32,2,9304.650101
wp,lorenz96,tsit5,fixed,none,dt,0.00048828125,131072,32,3,9313.416763
wp,lorenz96,tsit5,fixed,none,dt,0.000244140625,131072,32,0,19051.935726
wp,lorenz96,tsit5,fixed,none,dt,0.000244140625,131072,32,1,18643.223954
wp,lorenz96,tsit5,fixed,none,dt,0.000244140625,131072,32,2,18603.465352
wp,lorenz96,tsit5,fixed,none,dt,0.000244140625,131072,32,3,18617.689612
wp,lorenz96,tsit5,fixed,none,dt,0.0001220703125,131072,32,0,37500.629446
wp,lorenz96,tsit5,fixed,none,dt,0.0001220703125,131072,32,1,37247.680349
wp,lorenz96,tsit5,fixed,none,dt,0.0001220703125,131072,32,2,37253.635645
wp,lorenz96,tsit5,fixed,none,dt,0.0001220703125,131072,32,3,37266.442971
