analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,0,359.720501
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,1,358.466383
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,2,361.441555
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,3,351.929373
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,4,356.122816
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,5,347.273712
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,6,13329.943856
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,7,18797.441376
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,8,18781.590621
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,9,18797.127063
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,10,18801.631375
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,0,18782.383479
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,1,8058.841447
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,2,18797.979989
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,3,18803.326329
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,4,18796.611803
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,5,18790.847480
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,6,18803.989759
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,7,18800.094099
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,8,18791.348077
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,9,18794.905681
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,10,18788.782575
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,0,327.074911
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,1,336.293598
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,2,324.619756
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,3,327.364294
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,4,332.986596
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,5,328.275827
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,6,327.224560
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,7,331.029039
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,8,332.980329
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,9,327.994131
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,10,336.644575
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,0,331.302777
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,1,326.254019
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,2,329.448316
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,3,327.508600
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,4,318.536739
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,5,328.426329
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,6,326.598167
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,7,318.657419
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,8,328.233766
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,9,320.750646
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,10,323.846974
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,0,324.424024
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,1,321.621401
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,2,320.614025
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,3,320.079871
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,4,320.510752
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,5,319.862004
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,6,320.890685
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,7,320.062867
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,8,320.172915
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,9,321.645493
times,pleiades,kvaerno3,fixed,both,none,nan,8,28,10,320.240919
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,0,320.575061
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,1,318.636870
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,2,319.053223
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,3,319.206864
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,4,320.145692
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,5,318.907531
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,6,318.791888
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,7,318.543672
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,8,319.977131
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,9,319.404610
times,pleiades,kvaerno3,fixed,none,none,nan,8,28,10,319.316470
