analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,tsit5,fixed,both,none,nan,8,28,0,152.661902
times,pleiades,tsit5,fixed,both,none,nan,8,28,1,148.976174
times,pleiades,tsit5,fixed,both,none,nan,8,28,2,151.803759
times,pleiades,tsit5,fixed,both,none,nan,8,28,3,152.205588
times,pleiades,tsit5,fixed,both,none,nan,8,28,4,151.324059
times,pleiades,tsit5,fixed,both,none,nan,8,28,5,151.410702
times,pleiades,tsit5,fixed,both,none,nan,8,28,6,152.029370
times,pleiades,tsit5,fixed,both,none,nan,8,28,7,152.209785
times,pleiades,tsit5,fixed,both,none,nan,8,28,8,148.582223
times,pleiades,tsit5,fixed,both,none,nan,8,28,9,151.873813
times,pleiades,tsit5,fixed,both,none,nan,8,28,10,152.363821
times,pleiades,tsit5,fixed,both,none,nan,8,28,11,152.608170
times,pleiades,tsit5,fixed,both,none,nan,8,28,12,153.232565
times,pleiades,tsit5,fixed,both,none,nan,8,28,13,152.370869
times,pleiades,tsit5,fixed,both,none,nan,8,28,14,151.505882
times,pleiades,tsit5,fixed,both,none,nan,8,28,15,149.774128
times,pleiades,tsit5,fixed,both,none,nan,8,28,16,152.778788
times,pleiades,tsit5,fixed,both,none,nan,8,28,17,153.014615
times,pleiades,tsit5,fixed,both,none,nan,8,28,18,151.371039
times,pleiades,tsit5,fixed,both,none,nan,8,28,19,152.201011
times,pleiades,tsit5,fixed,both,none,nan,8,28,20,151.271477
times,pleiades,tsit5,fixed,none,none,nan,8,28,0,150.474992
times,pleiades,tsit5,fixed,none,none,nan,8,28,1,150.269822
times,pleiades,tsit5,fixed,none,none,nan,8,28,2,152.049657
times,pleiades,tsit5,fixed,none,none,nan,8,28,3,151.264118
times,pleiades,tsit5,fixed,none,none,nan,8,28,4,151.518822
times,pleiades,tsit5,fixed,none,none,nan,8,28,5,150.610081
times,pleiades,tsit5,fixed,none,none,nan,8,28,6,151.263706
times,pleiades,tsit5,fixed,none,none,nan,8,28,7,148.985599
times,pleiades,tsit5,fixed,none,none,nan,8,28,8,151.099066
times,pleiades,tsit5,fixed,none,none,nan,8,28,9,150.474989
times,pleiades,tsit5,fixed,none,none,nan,8,28,10,151.133579
times,pleiades,tsit5,fixed,none,none,nan,8,28,11,151.338156
times,pleiades,tsit5,fixed,none,none,nan,8,28,12,152.239791
times,pleiades,tsit5,fixed,none,none,nan,8,28,13,151.286928
times,pleiades,tsit5,fixed,none,none,nan,8,28,14,150.094538
times,pleiades,tsit5,fixed,none,none,nan,8,28,15,151.331895
times,pleiades,tsit5,fixed,none,none,nan,8,28,16,150.520261
times,pleiades,tsit5,fixed,none,none,nan,8,28,17,150.717816
times,pleiades,tsit5,fixed,none,none,nan,8,28,18,151.254221
times,pleiades,tsit5,fixed,none,none,nan,8,28,19,151.453968
times,pleiades,tsit5,fixed,none,none,nan,8,28,20,150.465952
times,pleiades,tsit5,fixed,both,none,nan,32,28,0,152.838146
times,pleiades,tsit5,fixed,both,none,nan,32,28,1,152.221627
times,pleiades,tsit5,fixed,both,none,nan,32,28,2,151.946231
times,pleiades,tsit5,fixed,both,none,nan,32,28,3,153.447144
times,pleiades,tsit5,fixed,both,none,nan,32,28,4,151.748126
times,pleiades,tsit5,fixed,both,none,nan,32,28,5,150.220777
times,pleiades,tsit5,fixed,both,none,nan,32,28,6,151.878448
times,pleiades,tsit5,fixed,both,none,nan,32,28,7,152.502089
times,pleiades,tsit5,fixed,both,none,nan,32,28,8,151.209651
times,pleiades,tsit5,fixed,both,none,nan,32,28,9,152.172089
times,pleiades,tsit5,fixed,both,none,nan,32,28,10,151.677064
times,pleiades,tsit5,fixed,both,none,nan,32,28,11,153.077612
times,pleiades,tsit5,fixed,both,none,nan,32,28,12,150.365959
times,pleiades,tsit5,fixed,both,none,nan,32,28,13,152.025779
times,pleiades,tsit5,fixed,both,none,nan,32,28,14,152.137003
times,pleiades,tsit5,fixed,both,none,nan,32,28,15,152.965692
times,pleiades,tsit5,fixed,both,none,nan,32,28,16,153.347683
times,pleiades,tsit5,fixed,both,none,nan,32,28,17,152.442355
times,pleiades,tsit5,fixed,both,none,nan,32,28,18,152.709017
times,pleiades,tsit5,fixed,both,none,nan,32,28,19,150.758758
times,pleiades,tsit5,fixed,both,none,nan,32,28,20,151.975279
times,pleiades,tsit5,fixed,none,none,nan,32,28,0,152.179988
times,pleiades,tsit5,fixed,none,none,nan,32,28,1,151.080409
times,pleiades,tsit5,fixed,none,none,nan,32,28,2,151.578093
times,pleiades,tsit5,fixed,none,none,nan,32,28,3,151.292985
times,pleiades,tsit5,fixed,none,none,nan,32,28,4,149.535989
times,pleiades,tsit5,fixed,none,none,nan,32,28,5,188.266651
times,pleiades,tsit5,fixed,none,none,nan,32,28,6,152.501642
times,pleiades,tsit5,fixed,none,none,nan,32,28,7,152.222093
times,pleiades,tsit5,fixed,none,none,nan,32,28,8,152.780166
times,pleiades,tsit5,fixed,none,none,nan,32,28,9,151.542540
times,pleiades,tsit5,fixed,none,none,nan,32,28,10,152.261056
times,pleiades,tsit5,fixed,none,none,nan,32,28,11,150.704331
times,pleiades,tsit5,fixed,none,none,nan,32,28,12,152.563976
times,pleiades,tsit5,fixed,none,none,nan,32,28,13,152.510086
times,pleiades,tsit5,fixed,none,none,nan,32,28,14,152.996942
times,pleiades,tsit5,fixed,none,none,nan,32,28,15,152.522648
times,pleiades,tsit5,fixed,none,none,nan,32,28,16,152.118741
times,pleiades,tsit5,fixed,none,none,nan,32,28,17,151.886433
times,pleiades,tsit5,fixed,none,none,nan,32,28,18,150.792613
times,pleiades,tsit5,fixed,none,none,nan,32,28,19,152.222735
times,pleiades,tsit5,fixed,none,none,nan,32,28,20,152.357738
times,pleiades,tsit5,fixed,both,none,nan,128,28,0,153.225469
times,pleiades,tsit5,fixed,both,none,nan,128,28,1,153.076851
times,pleiades,tsit5,fixed,both,none,nan,128,28,2,150.801396
times,pleiades,tsit5,fixed,both,none,nan,128,28,3,153.002774
times,pleiades,tsit5,fixed,both,none,nan,128,28,4,152.510944
times,pleiades,tsit5,fixed,both,none,nan,128,28,5,152.994445
times,pleiades,tsit5,fixed,both,none,nan,128,28,6,152.326673
times,pleiades,tsit5,fixed,both,none,nan,128,28,7,152.710452
times,pleiades,tsit5,fixed,both,none,nan,128,28,8,153.000942
times,pleiades,tsit5,fixed,both,none,nan,128,28,9,150.632800
times,pleiades,tsit5,fixed,both,none,nan,128,28,10,152.971167
times,pleiades,tsit5,fixed,both,none,nan,128,28,11,152.441917
times,pleiades,tsit5,fixed,both,none,nan,128,28,12,153.473351
times,pleiades,tsit5,fixed,both,none,nan,128,28,13,152.887752
times,pleiades,tsit5,fixed,both,none,nan,128,28,14,153.552476
times,pleiades,tsit5,fixed,both,none,nan,128,28,15,150.554325
times,pleiades,tsit5,fixed,both,none,nan,128,28,16,151.751525
times,pleiades,tsit5,fixed,both,none,nan,128,28,17,152.682553
times,pleiades,tsit5,fixed,both,none,nan,128,28,18,154.426271
times,pleiades,tsit5,fixed,both,none,nan,128,28,19,154.534682
times,pleiades,tsit5,fixed,both,none,nan,128,28,20,155.194466
times,pleiades,tsit5,fixed,none,none,nan,128,28,0,154.464059
times,pleiades,tsit5,fixed,none,none,nan,128,28,1,151.868849
times,pleiades,tsit5,fixed,none,none,nan,128,28,2,153.890575
times,pleiades,tsit5,fixed,none,none,nan,128,28,3,154.651762
times,pleiades,tsit5,fixed,none,none,nan,128,28,4,154.166765
times,pleiades,tsit5,fixed,none,none,nan,128,28,5,154.144321
times,pleiades,tsit5,fixed,none,none,nan,128,28,6,154.202052
times,pleiades,tsit5,fixed,none,none,nan,128,28,7,154.402280
times,pleiades,tsit5,fixed,none,none,nan,128,28,8,152.466880
times,pleiades,tsit5,fixed,none,none,nan,128,28,9,154.030930
times,pleiades,tsit5,fixed,none,none,nan,128,28,10,154.500057
times,pleiades,tsit5,fixed,none,none,nan,128,28,11,154.257080
