analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,classical-rk4,fixed,both,none,nan,8,20,0,49.822657
times,pollu,classical-rk4,fixed,both,none,nan,8,20,1,49.332802
times,pollu,classical-rk4,fixed,both,none,nan,8,20,2,49.149547
times,pollu,classical-rk4,fixed,both,none,nan,8,20,3,48.697646
times,pollu,classical-rk4,fixed,both,none,nan,8,20,4,49.444474
times,pollu,classical-rk4,fixed,both,none,nan,8,20,5,48.874029
times,pollu,classical-rk4,fixed,both,none,nan,8,20,6,49.143456
times,pollu,classical-rk4,fixed,both,none,nan,8,20,7,48.801887
times,pollu,classical-rk4,fixed,both,none,nan,8,20,8,49.266404
times,pollu,classical-rk4,fixed,both,none,nan,8,20,9,48.883178
times,pollu,classical-rk4,fixed,both,none,nan,8,20,10,48.685675
times,pollu,classical-rk4,fixed,both,none,nan,8,20,11,49.340362
times,pollu,classical-rk4,fixed,both,none,nan,8,20,12,48.586322
times,pollu,classical-rk4,fixed,both,none,nan,8,20,13,48.685145
times,pollu,classical-rk4,fixed,both,none,nan,8,20,14,48.926610
times,pollu,classical-rk4,fixed,both,none,nan,8,20,15,48.833414
times,pollu,classical-rk4,fixed,both,none,nan,8,20,16,48.610973
times,pollu,classical-rk4,fixed,both,none,nan,8,20,17,49.457137
times,pollu,classical-rk4,fixed,both,none,nan,8,20,18,49.384121
times,pollu,classical-rk4,fixed,both,none,nan,8,20,19,49.168414
times,pollu,classical-rk4,fixed,both,none,nan,8,20,20,49.046665
times,pollu,classical-rk4,fixed,none,none,nan,8,20,0,48.613653
times,pollu,classical-rk4,fixed,none,none,nan,8,20,1,48.662797
times,pollu,classical-rk4,fixed,none,none,nan,8,20,2,48.535245
times,pollu,classical-rk4,fixed,none,none,nan,8,20,3,48.490507
times,pollu,classical-rk4,fixed,none,none,nan,8,20,4,48.686476
times,pollu,classical-rk4,fixed,none,none,nan,8,20,5,48.067431
times,pollu,classical-rk4,fixed,none,none,nan,8,20,6,48.733690
times,pollu,classical-rk4,fixed,none,none,nan,8,20,7,48.499828
times,pollu,classical-rk4,fixed,none,none,nan,8,20,8,48.628680
times,pollu,classical-rk4,fixed,none,none,nan,8,20,9,48.669059
times,pollu,classical-rk4,fixed,none,none,nan,8,20,10,48.442827
times,pollu,classical-rk4,fixed,none,none,nan,8,20,11,48.710372
times,pollu,classical-rk4,fixed,none,none,nan,8,20,12,48.779814
times,pollu,classical-rk4,fixed,none,none,nan,8,20,13,48.626507
times,pollu,classical-rk4,fixed,none,none,nan,8,20,14,48.400347
times,pollu,classical-rk4,fixed,none,none,nan,8,20,15,48.488252
times,pollu,classical-rk4,fixed,none,none,nan,8,20,16,48.469872
times,pollu,classical-rk4,fixed,none,none,nan,8,20,17,48.392084
times,pollu,classical-rk4,fixed,none,none,nan,8,20,18,48.500221
times,pollu,classical-rk4,fixed,none,none,nan,8,20,19,48.665194
