analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,kvaerno3,fixed,both,none,nan,8,20,0,4.621386
times,pollu,kvaerno3,fixed,both,none,nan,8,20,1,1.980583
times,pollu,kvaerno3,fixed,both,none,nan,8,20,2,1.907956
times,pollu,kvaerno3,fixed,both,none,nan,8,20,3,1.892865
times,pollu,kvaerno3,fixed,both,none,nan,8,20,4,1.879870
times,pollu,kvaerno3,fixed,both,none,nan,8,20,5,1.546746
times,pollu,kvaerno3,fixed,both,none,nan,8,20,6,1.671266
times,pollu,kvaerno3,fixed,both,none,nan,8,20,7,1.573524
times,pollu,kvaerno3,fixed,both,none,nan,8,20,8,1.573480
times,pollu,kvaerno3,fixed,both,none,nan,8,20,9,1.434461
times,pollu,kvaerno3,fixed,both,none,nan,8,20,10,1.568084
times,pollu,kvaerno3,fixed,both,none,nan,8,20,11,1.513537
times,pollu,kvaerno3,fixed,both,none,nan,8,20,12,1.530740
times,pollu,kvaerno3,fixed,both,none,nan,8,20,13,1.500755
times,pollu,kvaerno3,fixed,both,none,nan,8,20,14,1.595867
times,pollu,kvaerno3,fixed,both,none,nan,8,20,15,1.572042
times,pollu,kvaerno3,fixed,both,none,nan,8,20,16,1.585455
times,pollu,kvaerno3,fixed,both,none,nan,8,20,17,1.559444
times,pollu,kvaerno3,fixed,both,none,nan,8,20,18,1.556172
times,pollu,kvaerno3,fixed,both,none,nan,8,20,19,1.546820
times,pollu,kvaerno3,fixed,both,none,nan,8,20,20,1.445027
times,pollu,kvaerno3,fixed,none,none,nan,8,20,0,1.076226
times,pollu,kvaerno3,fixed,none,none,nan,8,20,1,1.071331
times,pollu,kvaerno3,fixed,none,none,nan,8,20,2,1.092162
times,pollu,kvaerno3,fixed,none,none,nan,8,20,3,1.021916
times,pollu,kvaerno3,fixed,none,none,nan,8,20,4,1.016567
times,pollu,kvaerno3,fixed,none,none,nan,8,20,5,1.014538
times,pollu,kvaerno3,fixed,none,none,nan,8,20,6,1.022135
times,pollu,kvaerno3,fixed,none,none,nan,8,20,7,1.048495
times,pollu,kvaerno3,fixed,none,none,nan,8,20,8,0.986380
times,pollu,kvaerno3,fixed,none,none,nan,8,20,9,0.979360
times,pollu,kvaerno3,fixed,none,none,nan,8,20,10,0.952607
times,pollu,kvaerno3,fixed,none,none,nan,8,20,11,0.977336
times,pollu,kvaerno3,fixed,none,none,nan,8,20,12,0.991166
times,pollu,kvaerno3,fixed,none,none,nan,8,20,13,0.988284
times,pollu,kvaerno3,fixed,none,none,nan,8,20,14,1.001691
times,pollu,kvaerno3,fixed,none,none,nan,8,20,15,0.992548
times,pollu,kvaerno3,fixed,none,none,nan,8,20,16,0.987329
times,pollu,kvaerno3,fixed,none,none,nan,8,20,17,0.968107
times,pollu,kvaerno3,fixed,none,none,nan,8,20,18,0.997555
times,pollu,kvaerno3,fixed,none,none,nan,8,20,19,1.004051
times,pollu,kvaerno3,fixed,none,none,nan,8,20,20,1.012984
