analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,0,509.720734
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,1,49.762973
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,2,49.131911
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,3,49.215452
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,4,49.177611
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,5,49.307081
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,6,48.965356
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,7,49.263845
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,8,49.016525
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,9,49.249223
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,10,49.233822
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,11,49.300770
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,12,49.133774
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,13,49.225353
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,14,49.085496
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,15,49.356481
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,16,49.135575
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,17,49.351580
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,18,48.997982
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,19,49.249675
wp,pollu,classical-rk4,fixed,none,dt,3.75,131072,20,20,49.051041
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,0,458.274431
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,1,98.458856
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,2,97.940342
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,3,98.282941
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,4,98.054850
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,5,98.191512
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,6,98.014207
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,7,98.214234
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,8,98.037030
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,9,98.173961
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,10,98.100963
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,11,98.227421
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,12,98.095822
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,13,98.191353
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,14,97.926960
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,15,98.096429
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,16,98.039819
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,17,98.262033
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,18,97.931084
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,19,98.145142
wp,pollu,classical-rk4,fixed,none,dt,1.875,131072,20,20,97.967925
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,0,567.104762
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,1,195.898787
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,2,195.581371
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,3,195.880821
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,4,195.568736
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,5,195.854552
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,6,195.561696
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,7,196.080391
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,8,195.505600
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,9,195.907328
wp,pollu,classical-rk4,fixed,none,dt,0.9375,131072,20,10,195.649751
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,0,752.176392
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,1,391.530576
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,2,390.514872
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,3,391.297076
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,4,390.683106
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,5,391.176705
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,6,390.492479
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,7,391.248230
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,8,390.528016
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,9,391.342685
wp,pollu,classical-rk4,fixed,none,dt,0.46875,131072,20,10,390.705084
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,0,1142.963509
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,1,782.560667
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,2,780.775693
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,3,782.250335
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,4,781.078335
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,5,782.535358
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,6,781.014471
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,7,782.504302
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,8,781.706575
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,9,782.480792
wp,pollu,classical-rk4,fixed,none,dt,0.234375,131072,20,10,780.936540
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,0,1995.025184
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,1,1563.634532
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,2,1560.559410
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,3,1563.806783
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,4,1560.208069
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,5,1563.626581
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,6,1560.550988
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,7,1564.036038
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,8,1560.449567
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,9,1563.582023
wp,pollu,classical-rk4,fixed,none,dt,0.1171875,131072,20,10,1560.543171
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,0,3476.641470
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,1,3126.624452
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,2,3120.578069
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,3,3126.431567
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,4,3126.849274
wp,pollu,classical-rk4,fixed,none,dt,0.05859375,131072,20,5,3129.250616
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,0,6597.229843
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,1,6257.251286
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,2,6246.001128
wp,pollu,classical-rk4,fixed,none,dt,0.029296875,131072,20,3,6257.996188
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,0,12844.177459
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,1,12516.617114
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,2,12497.856611
wp,pollu,classical-rk4,fixed,none,dt,0.0146484375,131072,20,3,12516.109396
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,0,25432.693361
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,1,25035.779247
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,2,24986.896109
wp,pollu,classical-rk4,fixed,none,dt,0.00732421875,131072,20,3,25040.439723
