analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,ring_modulator,euler,fixed,both,none,nan,8,15,0,21.666704
times,ring_modulator,euler,fixed,both,none,nan,8,15,1,20.456880
times,ring_modulator,euler,fixed,both,none,nan,8,15,2,20.649116
times,ring_modulator,euler,fixed,both,none,nan,8,15,3,20.712793
times,ring_modulator,euler,fixed,both,none,nan,8,15,4,20.603739
times,ring_modulator,euler,fixed,both,none,nan,8,15,5,20.465820
times,ring_modulator,euler,fixed,both,none,nan,8,15,6,20.412876
times,ring_modulator,euler,fixed,both,none,nan,8,15,7,20.646466
times,ring_modulator,euler,fixed,both,none,nan,8,15,8,20.286156
times,ring_modulator,euler,fixed,both,none,nan,8,15,9,20.615072
times,ring_modulator,euler,fixed,both,none,nan,8,15,10,18.427072
times,ring_modulator,euler,fixed,both,none,nan,8,15,11,20.358429
times,ring_modulator,euler,fixed,both,none,nan,8,15,12,20.479187
times,ring_modulator,euler,fixed,both,none,nan,8,15,13,20.425375
times,ring_modulator,euler,fixed,both,none,nan,8,15,14,20.727556
times,ring_modulator,euler,fixed,both,none,nan,8,15,15,20.356846
times,ring_modulator,euler,fixed,both,none,nan,8,15,16,20.508713
times,ring_modulator,euler,fixed,both,none,nan,8,15,17,20.359620
times,ring_modulator,euler,fixed,both,none,nan,8,15,18,20.385793
times,ring_modulator,euler,fixed,both,none,nan,8,15,19,20.419239
times,ring_modulator,euler,fixed,both,none,nan,8,15,20,20.423389
times,ring_modulator,euler,fixed,none,none,nan,8,15,0,19.720215
times,ring_modulator,euler,fixed,none,none,nan,8,15,1,19.555874
times,ring_modulator,euler,fixed,none,none,nan,8,15,2,19.519236
times,ring_modulator,euler,fixed,none,none,nan,8,15,3,19.799116
times,ring_modulator,euler,fixed,none,none,nan,8,15,4,19.584826
times,ring_modulator,euler,fixed,none,none,nan,8,15,5,19.640539
times,ring_modulator,euler,fixed,none,none,nan,8,15,6,19.658490
times,ring_modulator,euler,fixed,none,none,nan,8,15,7,19.641949
times,ring_modulator,euler,fixed,none,none,nan,8,15,8,19.613364
times,ring_modulator,euler,fixed,none,none,nan,8,15,9,19.636278
times,ring_modulator,euler,fixed,none,none,nan,8,15,10,19.664846
times,ring_modulator,euler,fixed,none,none,nan,8,15,11,19.685009
times,ring_modulator,euler,fixed,none,none,nan,8,15,12,19.695027
times,ring_modulator,euler,fixed,none,none,nan,8,15,13,19.806187
times,ring_modulator,euler,fixed,none,none,nan,8,15,14,19.568538
times,ring_modulator,euler,fixed,none,none,nan,8,15,15,19.652497
times,ring_modulator,euler,fixed,none,none,nan,8,15,16,19.597574
times,ring_modulator,euler,fixed,none,none,nan,8,15,17,19.632829
times,ring_modulator,euler,fixed,none,none,nan,8,15,18,19.715653
times,ring_modulator,euler,fixed,none,none,nan,8,15,19,19.702022
times,ring_modulator,euler,fixed,none,none,nan,8,15,20,19.740751
times,ring_modulator,euler,fixed,both,none,nan,32,15,0,21.167077
times,ring_modulator,euler,fixed,both,none,nan,32,15,1,20.115274
times,ring_modulator,euler,fixed,both,none,nan,32,15,2,20.423938
times,ring_modulator,euler,fixed,both,none,nan,32,15,3,20.416105
times,ring_modulator,euler,fixed,both,none,nan,32,15,4,20.298814
times,ring_modulator,euler,fixed,both,none,nan,32,15,5,20.435160
times,ring_modulator,euler,fixed,both,none,nan,32,15,6,20.352498
times,ring_modulator,euler,fixed,both,none,nan,32,15,7,20.369000
times,ring_modulator,euler,fixed,both,none,nan,32,15,8,20.498420
times,ring_modulator,euler,fixed,both,none,nan,32,15,9,20.318236
times,ring_modulator,euler,fixed,both,none,nan,32,15,10,20.367781
times,ring_modulator,euler,fixed,both,none,nan,32,15,11,18.481709
times,ring_modulator,euler,fixed,both,none,nan,32,15,12,20.141863
times,ring_modulator,euler,fixed,both,none,nan,32,15,13,20.229087
times,ring_modulator,euler,fixed,both,none,nan,32,15,14,20.389876
times,ring_modulator,euler,fixed,both,none,nan,32,15,15,20.460056
times,ring_modulator,euler,fixed,both,none,nan,32,15,16,20.414899
times,ring_modulator,euler,fixed,both,none,nan,32,15,17,20.343184
times,ring_modulator,euler,fixed,both,none,nan,32,15,18,20.335530
times,ring_modulator,euler,fixed,both,none,nan,32,15,19,20.394064
times,ring_modulator,euler,fixed,both,none,nan,32,15,20,20.412888
times,ring_modulator,euler,fixed,none,none,nan,32,15,0,19.796548
times,ring_modulator,euler,fixed,none,none,nan,32,15,1,19.745602
times,ring_modulator,euler,fixed,none,none,nan,32,15,2,19.783734
times,ring_modulator,euler,fixed,none,none,nan,32,15,3,19.429100
times,ring_modulator,euler,fixed,none,none,nan,32,15,4,19.734488
times,ring_modulator,euler,fixed,none,none,nan,32,15,5,19.575355
times,ring_modulator,euler,fixed,none,none,nan,32,15,6,19.441066
times,ring_modulator,euler,fixed,none,none,nan,32,15,7,19.416702
times,ring_modulator,euler,fixed,none,none,nan,32,15,8,19.661389
times,ring_modulator,euler,fixed,none,none,nan,32,15,9,19.772221
times,ring_modulator,euler,fixed,none,none,nan,32,15,10,19.803795
times,ring_modulator,euler,fixed,none,none,nan,32,15,11,19.782833
times,ring_modulator,euler,fixed,none,none,nan,32,15,12,19.501707
times,ring_modulator,euler,fixed,none,none,nan,32,15,13,19.629589
times,ring_modulator,euler,fixed,none,none,nan,32,15,14,19.513171
times,ring_modulator,euler,fixed,none,none,nan,32,15,15,19.541345
times,ring_modulator,euler,fixed,none,none,nan,32,15,16,19.533806
times,ring_modulator,euler,fixed,none,none,nan,32,15,17,19.786889
times,ring_modulator,euler,fixed,none,none,nan,32,15,18,19.907961
times,ring_modulator,euler,fixed,none,none,nan,32,15,19,19.722145
times,ring_modulator,euler,fixed,none,none,nan,32,15,20,19.639671
times,ring_modulator,euler,fixed,both,none,nan,128,15,0,21.095158
times,ring_modulator,euler,fixed,both,none,nan,128,15,1,20.504750
times,ring_modulator,euler,fixed,both,none,nan,128,15,2,20.515658
times,ring_modulator,euler,fixed,both,none,nan,128,15,3,20.136267
times,ring_modulator,euler,fixed,both,none,nan,128,15,4,20.924541
times,ring_modulator,euler,fixed,both,none,nan,128,15,5,20.388618
times,ring_modulator,euler,fixed,both,none,nan,128,15,6,20.484903
times,ring_modulator,euler,fixed,both,none,nan,128,15,7,20.406443
times,ring_modulator,euler,fixed,both,none,nan,128,15,8,20.595410
times,ring_modulator,euler,fixed,both,none,nan,128,15,9,20.514758
times,ring_modulator,euler,fixed,both,none,nan,128,15,10,20.407237
times,ring_modulator,euler,fixed,both,none,nan,128,15,11,20.572983
times,ring_modulator,euler,fixed,both,none,nan,128,15,12,19.255759
times,ring_modulator,euler,fixed,both,none,nan,128,15,13,20.059323
times,ring_modulator,euler,fixed,both,none,nan,128,15,14,20.734013
times,ring_modulator,euler,fixed,both,none,nan,128,15,15,20.764337
times,ring_modulator,euler,fixed,both,none,nan,128,15,16,20.553531
times,ring_modulator,euler,fixed,both,none,nan,128,15,17,20.660510
times,ring_modulator,euler,fixed,both,none,nan,128,15,18,20.388063
times,ring_modulator,euler,fixed,both,none,nan,128,15,19,20.630009
times,ring_modulator,euler,fixed,both,none,nan,128,15,20,20.452476
times,ring_modulator,euler,fixed,none,none,nan,128,15,0,19.856711
times,ring_modulator,euler,fixed,none,none,nan,128,15,1,19.792916
times,ring_modulator,euler,fixed,none,none,nan,128,15,2,19.742541
times,ring_modulator,euler,fixed,none,none,nan,128,15,3,19.517497
times,ring_modulator,euler,fixed,none,none,nan,128,15,4,19.764215
