analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,0,4.240176
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,1,1.825856
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,2,1.983251
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,3,1.698548
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,4,1.709314
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,5,1.692587
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,6,1.715605
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,7,1.779511
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,8,1.663838
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,9,1.612686
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,10,1.518224
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,11,1.553667
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,12,1.547595
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,13,1.451222
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,14,1.514088
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,15,1.524007
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,16,1.530891
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,17,1.411822
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,18,1.542516
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,19,1.487012
times,ring_modulator,kvaerno3,fixed,both,none,nan,8,15,20,1.523303
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,0,1.061445
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,1,0.991229
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,2,0.969850
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,3,0.989828
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,4,0.976391
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,5,0.986034
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,6,0.952313
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,7,0.991482
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,8,0.983153
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,9,0.993236
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,10,0.995638
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,11,0.991039
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,12,0.941144
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,13,0.959037
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,14,0.950101
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,15,1.024952
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,16,1.008340
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,17,1.021862
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,18,1.023936
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,19,0.991055
times,ring_modulator,kvaerno3,fixed,none,none,nan,8,15,20,1.013680
