analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,0,530.106010
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,1,57.454121
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,2,57.061246
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,3,57.184910
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,4,57.055920
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,5,57.145820
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,6,57.158352
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,7,57.169554
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,8,57.091195
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,9,57.099509
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,10,57.095426
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,11,57.148924
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,12,57.057072
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,13,57.124636
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,14,57.027340
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,15,57.051697
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,16,57.060691
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,17,57.041179
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,18,56.998063
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,19,57.094836
wp,ring_modulator,tsit5,fixed,none,dt,6.25e-05,131072,15,20,57.071367
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,0,470.675229
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,1,113.129653
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,2,113.004222
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,3,112.954859
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,4,112.965695
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,5,112.953831
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,6,112.829926
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,7,112.988388
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,8,112.830438
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,9,112.911098
wp,ring_modulator,tsit5,fixed,none,dt,3.125e-05,131072,15,10,112.842155
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,0,592.508092
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,1,224.917971
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,2,224.752180
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,3,225.019454
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,4,224.879973
wp,ring_modulator,tsit5,fixed,none,dt,1.5625e-05,131072,15,5,224.796226
