analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,0,0.468537
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,1,0.379355
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,2,0.373709
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,3,0.373476
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,4,0.343700
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,5,0.330346
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,6,0.327475
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,7,0.323061
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,8,0.364709
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,9,0.371708
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,10,0.342932
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,11,0.362282
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,12,0.378313
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,13,0.377660
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,14,0.377877
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,15,0.342591
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,16,0.365563
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,17,0.379786
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,18,0.340845
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,19,0.363653
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,8,3,20,0.376710
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,0,0.452517
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,1,0.431758
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,2,0.389513
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,3,0.374401
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,4,0.411900
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,5,0.424759
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,6,0.424778
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,7,0.423078
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,8,0.424434
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,9,0.422895
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,10,0.385313
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,11,0.373465
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,12,0.423627
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,13,0.384380
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,14,0.373187
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,15,0.415639
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,16,0.435980
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,17,0.423586
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,18,0.424191
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,19,0.422658
times,lorenz,rosenbrock23_sciml,adaptive,both,none,nan,8,3,20,0.429287
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,0,0.440204
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,1,0.346065
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,2,0.367879
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,3,0.343211
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,4,0.331274
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,5,0.365572
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,6,0.380930
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,7,0.376304
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,8,0.375833
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,9,0.346115
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,10,0.365867
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,11,0.410756
times,lorenz,rosenbrock23_sciml,adaptive,none,none,nan,32,3,12,0.379206
