analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,0,316.275587
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,1,306.443450
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,2,305.772500
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,3,307.075032
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,4,307.388369
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,5,428.048900
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,6,305.898807
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,7,305.885635
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,8,306.286504
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,9,306.069655
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,10,310.145543
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,11,305.938697
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,12,306.460917
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,13,306.605943
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,14,305.896069
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,15,305.626254
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,16,305.962505
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,17,306.033390
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,18,305.765313
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,19,305.833164
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,4,20,305.539175
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,0,308.584231
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,1,309.065406
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,2,308.651251
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,3,309.255176
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,4,308.463979
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,5,308.525804
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,6,308.416971
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,7,309.065481
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,8,309.604464
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,9,308.447644
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,10,308.467560
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,11,308.551661
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,12,323.192492
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,13,308.420254
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,14,308.580698
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,15,308.628684
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,16,308.373470
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,17,332.369411
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,18,308.714168
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,19,308.326412
states,lorenz96,kvaerno3,adaptive,both,none,nan,131072,4,20,308.095270
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,8,0,3261.520986
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,8,1,3524.173656
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,8,2,7140.287700
states,lorenz96,kvaerno3,adaptive,none,none,nan,131072,8,3,7145.117004
