analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,0,102.438058
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,1,101.523274
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,2,101.573636
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,3,102.070001
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,4,102.099218
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,5,102.395870
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,6,102.257217
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,7,102.202276
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,8,101.725926
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,9,101.687173
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,10,101.579881
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,11,101.478145
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,12,103.556689
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,13,101.553217
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,14,151.210249
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,15,224.474793
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,16,224.335161
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,17,224.241867
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,18,224.086821
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,19,224.077617
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,20,224.083648
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,0,224.796895
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,1,225.670644
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,2,224.933684
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,3,225.451535
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,4,225.366897
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,5,224.978912
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,6,224.855423
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,7,225.553921
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,8,228.030205
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,9,225.481862
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,10,224.875383
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,11,224.572582
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,12,224.903772
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,13,225.246635
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,14,225.112377
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,15,224.787064
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,16,224.529388
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,17,224.792132
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,18,224.764178
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,19,224.771923
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,20,224.763060
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,0,1631.721479
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,1,1627.596651
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,2,1624.750037
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,3,1624.140556
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,4,1623.484216
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,5,1625.397159
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,6,1624.136667
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,7,1624.706805
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,8,1624.097579
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,9,1624.078154
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,10,1624.037207
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,11,1624.405962
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,12,1624.021745
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,13,1624.332392
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,14,1624.550744
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,15,1624.548484
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,16,1625.086726
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,17,1624.081889
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,18,1624.252566
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,19,1624.527755
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,20,1624.109041
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,0,1642.635557
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,1,1629.033459
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,2,1648.131469
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,3,1628.823635
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,4,2204.609508
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,5,4965.972435
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,6,3563.086730
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,7,3562.722069
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,8,3562.881711
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,9,3590.691820
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,10,3564.326821
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,11,3560.788484
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,12,3583.767278
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,13,3561.256208
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,14,3562.277543
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,15,3566.287556
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,16,3561.263114
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,17,3561.697821
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,18,3563.776817
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,19,3565.090153
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,8,20,3561.887630
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,0,34567.020172
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,1,34547.520033
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,2,26134.825797
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,3,15739.394187
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,4,15733.485284
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,5,15749.602961
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,6,15737.799781
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,7,15738.033754
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,8,15732.471382
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,9,15756.277547
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,10,15730.545553
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,11,15736.898344
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,12,15740.940330
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,16,13,15738.205566
