analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,0,49.425471
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,1,9.268185
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,2,9.265334
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,3,9.260869
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,4,9.399028
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,5,9.275615
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,6,9.260137
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,7,9.258793
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,8,9.261373
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,9,11.745046
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,10,21.561158
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,11,23.795979
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,12,32.897983
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,13,39.683634
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,14,44.240337
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,15,44.254335
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,16,44.226795
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,17,44.241106
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,18,44.259342
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,19,44.229009
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,20,44.221067
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,0,135.182622
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,1,44.272634
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,2,44.336347
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,3,43.779757
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,4,44.678268
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,5,44.113521
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,6,44.328656
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,7,44.378075
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,8,141.707619
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,9,41.137992
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,10,44.138451
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,11,44.127175
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,12,44.123168
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,13,36.742364
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,14,32.800496
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,15,32.792817
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,16,32.787667
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,17,33.840508
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,18,37.678410
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,19,37.276035
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,20,37.428544
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,0,847.065809
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,1,408.586222
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,2,287.464809
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,3,284.736153
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,4,284.846828
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,5,284.919181
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,6,284.906908
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,7,285.001820
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,8,284.666700
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,9,284.936203
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,10,284.686513
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,11,284.873232
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,12,284.805591
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,13,284.745064
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,14,284.648567
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,15,284.564037
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,16,284.807711
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,17,284.237298
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,18,284.648875
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,19,286.362170
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,20,285.182404
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,0,376.866870
