analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,tsit5,fixed,none,none,nan,8,32,0,7.363109
times,lorenz96,tsit5,fixed,none,none,nan,8,32,1,7.778319
times,lorenz96,tsit5,fixed,none,none,nan,8,32,2,7.557422
times,lorenz96,tsit5,fixed,none,none,nan,8,32,3,7.882756
times,lorenz96,tsit5,fixed,none,none,nan,8,32,4,7.268051
times,lorenz96,tsit5,fixed,none,none,nan,8,32,5,7.681067
times,lorenz96,tsit5,fixed,none,none,nan,8,32,6,7.473674
times,lorenz96,tsit5,fixed,none,none,nan,8,32,7,7.800903
times,lorenz96,tsit5,fixed,none,none,nan,8,32,8,7.327593
times,lorenz96,tsit5,fixed,none,none,nan,8,32,9,7.653532
times,lorenz96,tsit5,fixed,none,none,nan,8,32,10,7.534467
times,lorenz96,tsit5,fixed,none,none,nan,8,32,11,7.763048
times,lorenz96,tsit5,fixed,none,none,nan,8,32,12,7.295577
times,lorenz96,tsit5,fixed,none,none,nan,8,32,13,7.676769
times,lorenz96,tsit5,fixed,none,none,nan,8,32,14,7.528805
times,lorenz96,tsit5,fixed,none,none,nan,8,32,15,7.856036
times,lorenz96,tsit5,fixed,none,none,nan,8,32,16,7.220007
times,lorenz96,tsit5,fixed,none,none,nan,8,32,17,7.709604
times,lorenz96,tsit5,fixed,none,none,nan,8,32,18,7.453443
times,lorenz96,tsit5,fixed,none,none,nan,8,32,19,7.810743
times,lorenz96,tsit5,fixed,none,none,nan,8,32,20,7.282978
times,lorenz96,tsit5,fixed,both,none,nan,8,32,0,113.609294
times,lorenz96,tsit5,fixed,both,none,nan,8,32,1,7.648826
times,lorenz96,tsit5,fixed,both,none,nan,8,32,2,7.903217
times,lorenz96,tsit5,fixed,both,none,nan,8,32,3,7.339999
times,lorenz96,tsit5,fixed,both,none,nan,8,32,4,7.821518
times,lorenz96,tsit5,fixed,both,none,nan,8,32,5,7.633590
times,lorenz96,tsit5,fixed,both,none,nan,8,32,6,7.943920
times,lorenz96,tsit5,fixed,both,none,nan,8,32,7,7.338015
times,lorenz96,tsit5,fixed,both,none,nan,8,32,8,7.812502
times,lorenz96,tsit5,fixed,both,none,nan,8,32,9,7.608605
times,lorenz96,tsit5,fixed,both,none,nan,8,32,10,7.887531
times,lorenz96,tsit5,fixed,both,none,nan,8,32,11,7.305753
times,lorenz96,tsit5,fixed,both,none,nan,8,32,12,7.752962
times,lorenz96,tsit5,fixed,both,none,nan,8,32,13,7.604717
times,lorenz96,tsit5,fixed,both,none,nan,8,32,14,7.868892
times,lorenz96,tsit5,fixed,both,none,nan,8,32,15,7.333492
times,lorenz96,tsit5,fixed,both,none,nan,8,32,16,7.833331
times,lorenz96,tsit5,fixed,both,none,nan,8,32,17,7.617326
times,lorenz96,tsit5,fixed,both,none,nan,8,32,18,7.882745
times,lorenz96,tsit5,fixed,both,none,nan,8,32,19,7.319541
times,lorenz96,tsit5,fixed,both,none,nan,8,32,20,7.740966
times,lorenz96,tsit5,fixed,none,none,nan,32,32,0,7.824130
times,lorenz96,tsit5,fixed,none,none,nan,32,32,1,7.819808
times,lorenz96,tsit5,fixed,none,none,nan,32,32,2,7.795030
times,lorenz96,tsit5,fixed,none,none,nan,32,32,3,7.705678
times,lorenz96,tsit5,fixed,none,none,nan,32,32,4,7.849155
times,lorenz96,tsit5,fixed,none,none,nan,32,32,5,7.802731
times,lorenz96,tsit5,fixed,none,none,nan,32,32,6,7.780806
times,lorenz96,tsit5,fixed,none,none,nan,32,32,7,7.703639
times,lorenz96,tsit5,fixed,none,none,nan,32,32,8,7.886420
times,lorenz96,tsit5,fixed,none,none,nan,32,32,9,7.819197
times,lorenz96,tsit5,fixed,none,none,nan,32,32,10,7.812069
times,lorenz96,tsit5,fixed,none,none,nan,32,32,11,7.729332
times,lorenz96,tsit5,fixed,none,none,nan,32,32,12,7.863107
times,lorenz96,tsit5,fixed,none,none,nan,32,32,13,7.814962
times,lorenz96,tsit5,fixed,none,none,nan,32,32,14,7.785396
times,lorenz96,tsit5,fixed,none,none,nan,32,32,15,7.639798
times,lorenz96,tsit5,fixed,none,none,nan,32,32,16,7.833699
times,lorenz96,tsit5,fixed,none,none,nan,32,32,17,7.804914
times,lorenz96,tsit5,fixed,none,none,nan,32,32,18,8.084066
times,lorenz96,tsit5,fixed,none,none,nan,32,32,19,7.694001
times,lorenz96,tsit5,fixed,none,none,nan,32,32,20,7.837339
times,lorenz96,tsit5,fixed,both,none,nan,32,32,0,7.885569
times,lorenz96,tsit5,fixed,both,none,nan,32,32,1,7.853864
times,lorenz96,tsit5,fixed,both,none,nan,32,32,2,7.768673
times,lorenz96,tsit5,fixed,both,none,nan,32,32,3,7.942743
times,lorenz96,tsit5,fixed,both,none,nan,32,32,4,7.899381
times,lorenz96,tsit5,fixed,both,none,nan,32,32,5,7.868710
times,lorenz96,tsit5,fixed,both,none,nan,32,32,6,7.767027
times,lorenz96,tsit5,fixed,both,none,nan,32,32,7,7.912919
times,lorenz96,tsit5,fixed,both,none,nan,32,32,8,7.866711
times,lorenz96,tsit5,fixed,both,none,nan,32,32,9,7.896441
times,lorenz96,tsit5,fixed,both,none,nan,32,32,10,8.058012
times,lorenz96,tsit5,fixed,both,none,nan,32,32,11,7.898168
times,lorenz96,tsit5,fixed,both,none,nan,32,32,12,7.830262
times,lorenz96,tsit5,fixed,both,none,nan,32,32,13,7.792118
times,lorenz96,tsit5,fixed,both,none,nan,32,32,14,7.723291
times,lorenz96,tsit5,fixed,both,none,nan,32,32,15,7.865209
times,lorenz96,tsit5,fixed,both,none,nan,32,32,16,7.831416
times,lorenz96,tsit5,fixed,both,none,nan,32,32,17,7.817642
times,lorenz96,tsit5,fixed,both,none,nan,32,32,18,7.726668
times,lorenz96,tsit5,fixed,both,none,nan,32,32,19,7.889692
times,lorenz96,tsit5,fixed,both,none,nan,32,32,20,7.814306
times,lorenz96,tsit5,fixed,none,none,nan,128,32,0,29.364659
times,lorenz96,tsit5,fixed,none,none,nan,128,32,1,28.938811
times,lorenz96,tsit5,fixed,none,none,nan,128,32,2,29.261079
times,lorenz96,tsit5,fixed,none,none,nan,128,32,3,29.229903
times,lorenz96,tsit5,fixed,none,none,nan,128,32,4,29.270989
times,lorenz96,tsit5,fixed,none,none,nan,128,32,5,29.304905
times,lorenz96,tsit5,fixed,none,none,nan,128,32,6,29.219924
times,lorenz96,tsit5,fixed,none,none,nan,128,32,7,29.035636
times,lorenz96,tsit5,fixed,none,none,nan,128,32,8,28.865250
times,lorenz96,tsit5,fixed,none,none,nan,128,32,9,28.879333
times,lorenz96,tsit5,fixed,none,none,nan,128,32,10,29.206643
times,lorenz96,tsit5,fixed,none,none,nan,128,32,11,29.026583
times,lorenz96,tsit5,fixed,none,none,nan,128,32,12,28.898054
times,lorenz96,tsit5,fixed,none,none,nan,128,32,13,28.927448
times,lorenz96,tsit5,fixed,none,none,nan,128,32,14,29.144482
times,lorenz96,tsit5,fixed,none,none,nan,128,32,15,28.985823
times,lorenz96,tsit5,fixed,none,none,nan,128,32,16,28.919014
times,lorenz96,tsit5,fixed,none,none,nan,128,32,17,28.884261
times,lorenz96,tsit5,fixed,none,none,nan,128,32,18,29.140723
times,lorenz96,tsit5,fixed,none,none,nan,128,32,19,29.061473
times,lorenz96,tsit5,fixed,none,none,nan,128,32,20,28.852267
times,lorenz96,tsit5,fixed,both,none,nan,128,32,0,28.925119
times,lorenz96,tsit5,fixed,both,none,nan,128,32,1,29.178168
times,lorenz96,tsit5,fixed,both,none,nan,128,32,2,29.380775
times,lorenz96,tsit5,fixed,both,none,nan,128,32,3,29.057334
times,lorenz96,tsit5,fixed,both,none,nan,128,32,4,28.906138
times,lorenz96,tsit5,fixed,both,none,nan,128,32,5,29.165288
times,lorenz96,tsit5,fixed,both,none,nan,128,32,6,29.067966
times,lorenz96,tsit5,fixed,both,none,nan,128,32,7,28.918041
times,lorenz96,tsit5,fixed,both,none,nan,128,32,8,28.849178
times,lorenz96,tsit5,fixed,both,none,nan,128,32,9,29.213957
times,lorenz96,tsit5,fixed,both,none,nan,128,32,10,29.166120
times,lorenz96,tsit5,fixed,both,none,nan,128,32,11,29.002455
times,lorenz96,tsit5,fixed,both,none,nan,128,32,12,29.037478
times,lorenz96,tsit5,fixed,both,none,nan,128,32,13,29.200522
times,lorenz96,tsit5,fixed,both,none,nan,128,32,14,29.129507
times,lorenz96,tsit5,fixed,both,none,nan,128,32,15,29.009910
times,lorenz96,tsit5,fixed,both,none,nan,128,32,16,28.939900
times,lorenz96,tsit5,fixed,both,none,nan,128,32,17,29.157417
times,lorenz96,tsit5,fixed,both,none,nan,128,32,18,29.207453
times,lorenz96,tsit5,fixed,both,none,nan,128,32,19,29.021002
times,lorenz96,tsit5,fixed,both,none,nan,128,32,20,28.884402
times,lorenz96,tsit5,fixed,none,none,nan,512,32,0,7.791869
times,lorenz96,tsit5,fixed,none,none,nan,512,32,1,7.705420
times,lorenz96,tsit5,fixed,none,none,nan,512,32,2,7.839289
times,lorenz96,tsit5,fixed,none,none,nan,512,32,3,7.816035
times,lorenz96,tsit5,fixed,none,none,nan,512,32,4,7.724406
times,lorenz96,tsit5,fixed,none,none,nan,512,32,5,7.700564
times,lorenz96,tsit5,fixed,none,none,nan,512,32,6,7.806888
times,lorenz96,tsit5,fixed,none,none,nan,512,32,7,8.101114
times,lorenz96,tsit5,fixed,none,none,nan,512,32,8,7.696912
times,lorenz96,tsit5,fixed,none,none,nan,512,32,9,7.636953
times,lorenz96,tsit5,fixed,none,none,nan,512,32,10,7.751701
times,lorenz96,tsit5,fixed,none,none,nan,512,32,11,7.761279
times,lorenz96,tsit5,fixed,none,none,nan,512,32,12,7.693336
times,lorenz96,tsit5,fixed,none,none,nan,512,32,13,7.634767
times,lorenz96,tsit5,fixed,none,none,nan,512,32,14,7.767774
times,lorenz96,tsit5,fixed,none,none,nan,512,32,15,7.770141
times,lorenz96,tsit5,fixed,none,none,nan,512,32,16,7.681481
times,lorenz96,tsit5,fixed,none,none,nan,512,32,17,7.621642
times,lorenz96,tsit5,fixed,none,none,nan,512,32,18,7.784904
times,lorenz96,tsit5,fixed,none,none,nan,512,32,19,7.732914
times,lorenz96,tsit5,fixed,none,none,nan,512,32,20,7.962653
times,lorenz96,tsit5,fixed,both,none,nan,512,32,0,7.733414
times,lorenz96,tsit5,fixed,both,none,nan,512,32,1,7.797589
times,lorenz96,tsit5,fixed,both,none,nan,512,32,2,7.868504
times,lorenz96,tsit5,fixed,both,none,nan,512,32,3,7.716417
times,lorenz96,tsit5,fixed,both,none,nan,512,32,4,7.715863
times,lorenz96,tsit5,fixed,both,none,nan,512,32,5,7.819385
times,lorenz96,tsit5,fixed,both,none,nan,512,32,6,7.838866
times,lorenz96,tsit5,fixed,both,none,nan,512,32,7,7.748267
times,lorenz96,tsit5,fixed,both,none,nan,512,32,8,7.677693
times,lorenz96,tsit5,fixed,both,none,nan,512,32,9,7.804299
times,lorenz96,tsit5,fixed,both,none,nan,512,32,10,7.811946
times,lorenz96,tsit5,fixed,both,none,nan,512,32,11,7.735193
times,lorenz96,tsit5,fixed,both,none,nan,512,32,12,7.702240
times,lorenz96,tsit5,fixed,both,none,nan,512,32,13,7.868817
times,lorenz96,tsit5,fixed,both,none,nan,512,32,14,7.833154
times,lorenz96,tsit5,fixed,both,none,nan,512,32,15,7.795598
times,lorenz96,tsit5,fixed,both,none,nan,512,32,16,7.696729
times,lorenz96,tsit5,fixed,both,none,nan,512,32,17,7.846212
times,lorenz96,tsit5,fixed,both,none,nan,512,32,18,7.849361
times,lorenz96,tsit5,fixed,both,none,nan,512,32,19,7.756472
times,lorenz96,tsit5,fixed,both,none,nan,512,32,20,7.716203
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,0,16.436882
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,1,16.520871
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,2,16.693210
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,3,16.476570
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,4,16.425865
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,5,16.501053
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,6,16.647566
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,7,16.364128
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,8,16.464612
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,9,16.443710
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,10,16.680946
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,11,16.401991
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,12,16.548432
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,13,16.455658
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,14,16.560768
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,15,16.315245
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,16,16.322655
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,17,16.374893
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,18,16.490128
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,19,16.301993
times,lorenz96,tsit5,fixed,none,none,nan,2048,32,20,16.275721
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,0,16.574206
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,1,16.782948
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,2,16.598159
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,3,16.728797
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,4,16.717554
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,5,16.947377
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,6,16.654452
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,7,16.712680
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,8,16.663709
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,9,16.873661
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,10,16.721191
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,11,16.559198
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,12,16.691681
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,13,16.901029
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,14,16.641377
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,15,16.673319
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,16,16.626367
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,17,16.920723
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,18,16.846871
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,19,16.622483
times,lorenz96,tsit5,fixed,both,none,nan,2048,32,20,16.683088
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,0,95.095850
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,1,94.750255
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,2,94.714629
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,3,94.839200
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,4,94.965978
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,5,94.918219
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,6,95.113255
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,7,94.743907
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,8,94.908920
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,9,95.596638
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,10,95.238206
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,11,94.827195
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,12,94.855362
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,13,95.104266
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,14,95.219511
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,15,94.797836
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,16,94.837017
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,17,95.042069
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,18,94.772605
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,19,94.828782
times,lorenz96,tsit5,fixed,none,none,nan,8192,32,20,94.839654
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,0,95.761049
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,1,96.110841
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,2,95.940618
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,3,96.185782
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,4,96.146858
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,5,96.251616
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,6,96.046813
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,7,96.110989
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,8,96.193732
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,9,96.021768
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,10,96.771624
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,11,96.207059
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,12,95.969338
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,13,95.949177
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,14,95.936332
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,15,95.930150
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,16,96.398989
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,17,96.097441
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,18,95.879184
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,19,96.163033
times,lorenz96,tsit5,fixed,both,none,nan,8192,32,20,95.817712
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,0,437.593524
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,1,437.603855
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,2,437.009603
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,3,438.847044
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,4,438.805593
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,5,437.516132
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,6,436.976039
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,7,437.608229
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,8,436.794945
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,9,437.248838
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,10,437.239589
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,11,437.571198
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,12,437.574173
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,13,437.462992
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,14,437.379418
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,15,437.498268
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,16,437.345578
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,17,437.296366
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,18,437.512998
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,19,437.340806
times,lorenz96,tsit5,fixed,none,none,nan,32768,32,20,437.172753
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,0,441.785537
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,1,441.315364
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,2,441.292475
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,3,441.309392
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,4,441.537151
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,5,441.301324
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,6,441.195429
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,7,441.351675
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,8,441.686307
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,9,441.292601
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,10,441.053207
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,11,441.356896
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,12,441.682248
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,13,441.673693
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,14,441.362470
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,15,441.359127
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,16,441.928381
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,17,441.275862
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,18,441.477220
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,19,455.112928
times,lorenz96,tsit5,fixed,both,none,nan,32768,32,20,440.661168
times,lorenz96,tsit5,fixed,none,none,nan,8,32,0,7.284556
times,lorenz96,tsit5,fixed,none,none,nan,8,32,1,7.602438
times,lorenz96,tsit5,fixed,none,none,nan,8,32,2,7.408555
times,lorenz96,tsit5,fixed,none,none,nan,8,32,3,7.707608
times,lorenz96,tsit5,fixed,none,none,nan,8,32,4,7.138904
times,lorenz96,tsit5,fixed,none,none,nan,8,32,5,7.563033
times,lorenz96,tsit5,fixed,none,none,nan,8,32,6,7.356767
times,lorenz96,tsit5,fixed,none,none,nan,8,32,7,7.712416
times,lorenz96,tsit5,fixed,none,none,nan,8,32,8,7.146222
times,lorenz96,tsit5,fixed,none,none,nan,8,32,9,7.525924
times,lorenz96,tsit5,fixed,none,none,nan,8,32,10,7.361674
times,lorenz96,tsit5,fixed,none,none,nan,8,32,11,7.662749
times,lorenz96,tsit5,fixed,none,none,nan,8,32,12,7.166449
times,lorenz96,tsit5,fixed,none,none,nan,8,32,13,7.546298
times,lorenz96,tsit5,fixed,none,none,nan,8,32,14,7.430976
times,lorenz96,tsit5,fixed,none,none,nan,8,32,15,7.719899
times,lorenz96,tsit5,fixed,none,none,nan,8,32,16,7.164096
times,lorenz96,tsit5,fixed,none,none,nan,8,32,17,7.531907
times,lorenz96,tsit5,fixed,none,none,nan,8,32,18,7.331314
times,lorenz96,tsit5,fixed,none,none,nan,8,32,19,7.691543
times,lorenz96,tsit5,fixed,none,none,nan,8,32,20,7.112884
times,lorenz96,tsit5,fixed,both,none,nan,8,32,0,97.452091
