analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,0,368.953111
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,1,143.418620
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,2,151.618974
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,3,162.195117
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,4,148.932680
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,5,147.489341
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,6,151.317567
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,7,147.662116
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,8,150.418314
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,9,147.691094
wp,lorenz96,tsit5,adaptive,d2h,tol,0.01,131072,32,10,151.757466
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,0,199.643910
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,1,201.618591
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,2,198.636394
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,3,197.937867
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,4,197.874190
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,5,199.364328
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,6,202.962674
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,7,222.781432
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,8,198.634039
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,9,198.799039
wp,lorenz96,tsit5,adaptive,d2h,tol,0.001,131072,32,10,198.323381
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,0,291.678221
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,1,498.036024
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,2,259.996614
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,3,260.357713
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,4,266.225343
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,5,260.283710
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,6,264.692775
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,7,260.911564
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,8,264.207760
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,9,263.366327
wp,lorenz96,tsit5,adaptive,d2h,tol,0.0001,131072,32,10,263.135571
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,0,446.795636
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,1,443.723877
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,2,443.302486
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,3,442.861518
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,4,442.994964
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,5,443.224784
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,6,444.386319
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,7,442.637893
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,8,444.243620
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,9,442.928637
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-05,131072,32,10,442.446069
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,0,516.287997
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,1,718.326203
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,2,488.551985
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,3,487.714974
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,4,488.426008
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,5,488.333893
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,6,493.244357
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,7,485.761289
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,8,492.859275
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,9,488.439005
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-06,131072,32,10,491.050587
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-07,131072,32,0,772.082157
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-07,131072,32,1,764.978218
wp,lorenz96,tsit5,adaptive,d2h,tol,1e-07,131072,32,2,764.933779
