analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,0,49.042093
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,1,61.856717
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,2,41.636442
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,3,47.092044
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,4,42.113513
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,5,46.525662
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,6,42.081241
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,7,46.259649
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,8,43.654098
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,9,44.085893
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,10,44.281611
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,11,44.567516
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,12,43.932683
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,13,44.024687
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,14,44.044366
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,15,44.905856
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,16,45.373293
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,17,45.075160
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,18,45.412835
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,19,45.852625
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,20,45.029550
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,0,75.544290
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,1,73.882318
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,2,74.061149
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,3,78.305664
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,4,76.800099
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,5,76.895337
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,6,140.825492
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,7,143.599920
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,8,77.077214
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,9,76.669115
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,10,76.874033
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,11,77.443340
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,12,77.227693
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,13,76.987302
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,14,73.287155
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,15,73.360133
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,16,72.936752
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,17,72.217182
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,18,73.016488
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,19,72.541128
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,20,72.511596
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,0,357.429555
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,1,126.543700
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,2,127.007983
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,3,127.198070
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,4,126.503657
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,5,126.098403
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,6,135.355088
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,7,126.685628
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,8,126.423515
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,9,126.410753
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,10,125.870028
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,0,245.077363
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,1,238.758703
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,2,239.151865
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,3,245.177705
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,4,241.102352
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,5,239.780571
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,6,243.300451
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,7,241.276645
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,8,241.981791
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,9,241.851334
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,10,241.529389
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,0,469.167720
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,1,466.451651
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,2,466.506851
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,3,466.763968
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,4,466.902636
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,5,466.874856
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,6,466.456800
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,7,466.344235
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,8,466.728462
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,9,466.853103
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,10,466.074369
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,0,941.642639
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,1,1138.111844
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,2,914.817604
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,3,914.811927
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,4,914.848559
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,5,914.852132
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,6,914.910451
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,7,925.713002
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,8,914.600250
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,9,917.141344
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,10,921.464214
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,0,1821.629022
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,1,1818.829472
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,2,1819.435384
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,3,1851.015235
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,4,1820.107398
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,5,1819.642748
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,6,1819.771216
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,7,1819.341257
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,8,1818.738981
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,9,1818.823414
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,10,1819.294238
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,0,3623.615843
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,1,3642.393165
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,2,3838.845308
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,3,3618.770787
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,4,3619.654993
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,5,3618.207480
wp,lorenz96,tsit5,fixed,d2h,dt,0.000244140625,131072,32,0,7228.348652
wp,lorenz96,tsit5,fixed,d2h,dt,0.000244140625,131072,32,1,7251.022967
wp,lorenz96,tsit5,fixed,d2h,dt,0.000244140625,131072,32,2,7225.595007
wp,lorenz96,tsit5,fixed,d2h,dt,0.000244140625,131072,32,3,7226.936741
wp,lorenz96,tsit5,fixed,d2h,dt,0.0001220703125,131072,32,0,14436.763208
wp,lorenz96,tsit5,fixed,d2h,dt,0.0001220703125,131072,32,1,14457.726269
