analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,0,724.895856
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,1,723.724405
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,2,722.917113
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,3,718.771949
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,4,724.083264
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,5,724.037606
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,6,723.012436
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,7,718.682784
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,8,724.216519
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,9,723.859667
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,10,723.111953
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,11,718.549704
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,12,724.108090
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,13,723.788545
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,14,723.104724
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,15,718.783599
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,16,724.279423
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,17,724.005019
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,18,723.105465
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,19,718.791239
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,20,724.434102
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,0,829.940515
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,1,723.295003
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,2,718.923535
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,3,725.207988
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,4,724.080721
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,5,723.353183
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,6,718.971696
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,7,725.089038
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,8,724.254976
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,9,724.223220
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,10,719.574283
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,11,725.585927
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,12,725.010975
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,13,723.857343
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,14,719.519640
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,15,725.209374
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,16,724.713577
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,17,723.175144
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,18,719.159996
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,19,725.073794
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,20,725.771463
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,0,962.443696
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,1,953.737786
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,2,972.685697
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,3,981.700808
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,4,953.166178
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,5,953.487843
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,6,972.777308
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,7,996.838804
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,8,955.396467
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,9,955.954638
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,10,975.379318
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,11,983.678850
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,12,955.374299
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,13,955.784067
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,14,974.943795
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,15,983.564176
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,16,955.460720
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,17,955.773147
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,18,975.157674
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,19,983.290802
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,20,955.357906
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,0,955.935063
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,1,975.121221
