analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,0,698.509140
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,1,476.084755
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,2,475.785678
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,3,478.104457
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,4,476.357917
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,5,475.536212
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,6,476.914860
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,7,477.669388
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,8,476.967332
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,9,475.718272
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,10,475.668645
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,11,477.600425
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,12,477.404101
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,13,475.599817
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,14,475.369833
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,15,478.659629
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,16,477.034029
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,17,475.619053
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,18,475.465252
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,19,477.552703
times,lorenz96_20,rosenbrock23_sciml,fixed,none,none,nan,8,20,20,475.828439
times,lorenz96_20,rosenbrock23_sciml,fixed,both,none,nan,8,20,0,608.522007
times,lorenz96_20,rosenbrock23_sciml,fixed,both,none,nan,8,20,1,475.512913
times,lorenz96_20,rosenbrock23_sciml,fixed,both,none,nan,8,20,2,477.594942
times,lorenz96_20,rosenbrock23_sciml,fixed,both,none,nan,8,20,3,475.905424
times,lorenz96_20,rosenbrock23_sciml,fixed,both,none,nan,8,20,4,475.710569
