analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,0,4.158743
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,1,4.061951
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,2,4.057508
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,3,4.096079
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,4,4.082300
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,5,4.064992
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,6,4.043026
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,7,4.044996
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,8,4.047434
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,9,4.040566
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,10,4.043197
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,11,4.048467
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,12,4.057442
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,13,4.060669
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,14,4.061346
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,15,4.071991
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,16,4.100517
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,17,4.108517
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,18,4.075257
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,19,4.048311
times,lorenz96_20,tsit5,fixed,none,none,nan,8,20,20,4.042527
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,0,101.984484
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,1,4.172465
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,2,4.143606
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,3,4.130619
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,4,4.409831
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,5,4.116304
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,6,4.099877
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,7,4.121187
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,8,4.126944
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,9,4.148853
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,10,4.133229
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,11,4.132452
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,12,4.140591
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,13,4.136422
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,14,4.131352
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,15,4.132134
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,16,4.173448
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,17,4.187898
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,18,4.148413
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,19,4.142524
times,lorenz96_20,tsit5,fixed,both,none,nan,8,20,20,4.148982
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,0,4.066143
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,1,4.046724
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,2,4.045597
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,3,4.052632
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,4,4.043412
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,5,4.050366
times,lorenz96_20,tsit5,fixed,none,none,nan,32,20,6,4.058770
