analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,0,3812.358454
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,1,3827.224514
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,2,3810.776480
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,3,3808.103493
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,4,3868.426069
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,5,3812.569257
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,0,7495.987647
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,1,9362.775556
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,2,7252.602566
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,3,7287.957603
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,0,15475.188832
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,1,15478.075467
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,2,15500.484498
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,3,15480.551235
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,0,33370.905604
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,1,33370.960789
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,2,33344.002714
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,3,33371.893129
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,0,72097.583303
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,1,71884.488386
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,2,71886.822640
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,3,71888.531805
