analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,0,0.385175
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,1,0.290242
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,2,0.285366
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,3,0.295393
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,4,0.286738
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,5,0.233654
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,6,0.219355
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,7,0.216630
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,8,0.217312
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,9,0.212021
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,10,0.211474
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,11,0.213171
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,12,0.212751
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,13,0.211226
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,14,0.209763
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,15,0.213534
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,16,0.213778
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,17,0.210295
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,18,0.214845
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,19,0.215103
times,nand_gate,tsit5,adaptive,none,none,nan,8,14,20,0.211912
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,0,91.101919
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,1,0.525306
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,2,0.426153
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,3,0.414249
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,4,0.403542
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,5,0.438302
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,6,0.407022
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,7,0.403003
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,8,0.407788
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,9,0.398808
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,10,0.403724
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,11,0.405145
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,12,0.399757
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,13,0.405189
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,14,0.400069
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,15,0.402979
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,16,0.398353
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,17,0.396326
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,18,0.403430
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,19,0.398147
times,nand_gate,tsit5,adaptive,both,none,nan,8,14,20,0.408117
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,0,0.309812
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,1,0.266327
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,2,0.263598
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,3,0.265451
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,4,0.264563
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,5,0.261597
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,6,0.260391
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,7,0.262477
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,8,0.262307
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,9,0.261779
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,10,0.259211
times,nand_gate,tsit5,adaptive,none,none,nan,32,14,11,0.260046
