analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,0,116.547444
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,1,25.261116
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,2,43.117655
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,3,25.500587
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,4,36.169284
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,5,19.899714
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,6,23.012799
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,7,24.949859
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,8,25.744655
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,9,19.921977
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,10,22.033376
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,11,25.162481
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,12,25.860063
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,13,19.904295
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,14,22.280856
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,15,24.807770
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,16,25.559919
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,17,19.911131
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,18,22.228772
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,19,24.799037
wp,nand_gate,tsit5,fixed,d2h,dt,5,131072,14,20,25.607472
wp,nand_gate,tsit5,fixed,d2h,dt,2.5,131072,14,0,41.536479
wp,nand_gate,tsit5,fixed,d2h,dt,2.5,131072,14,1,32.972397
wp,nand_gate,tsit5,fixed,d2h,dt,2.5,131072,14,2,33.967931
wp,nand_gate,tsit5,fixed,d2h,dt,2.5,131072,14,3,32.956826
wp,nand_gate,tsit5,fixed,d2h,dt,2.5,131072,14,4,38.465255
