analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,0,1603.880248
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,1,1601.757261
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,2,1602.318312
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,3,1599.084591
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,4,1604.365349
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,5,1601.941547
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,6,1602.747445
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,7,1599.359281
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,8,1604.293688
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,9,1602.138399
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,8,28,10,1602.698533
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,0,1694.604817
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,1,1604.660064
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,2,1602.104649
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,3,1602.945933
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,4,1599.913780
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,5,1604.324365
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,6,1601.929824
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,7,1602.549047
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,8,1599.221729
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,9,1604.054491
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,8,28,10,1601.781589
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,0,2146.338472
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,1,2139.963432
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,2,2131.230967
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,3,2130.468459
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,4,2146.975556
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,5,2139.412232
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,6,2131.309604
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,7,2130.861872
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,8,2146.609545
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,9,2164.490448
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,32,28,10,2131.477264
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,0,2125.769314
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,1,2141.839192
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,2,2134.729062
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,3,2126.648206
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,4,2125.519424
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,5,2141.721707
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,6,2134.976472
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,7,2126.393009
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,8,2125.503901
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,9,2141.560059
times,pleiades,rosenbrock23_sciml,fixed,both,none,nan,32,28,10,2134.912731
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,0,3690.166416
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,1,3701.333290
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,2,3679.778625
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,3,3718.022828
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,4,3688.422532
times,pleiades,rosenbrock23_sciml,fixed,none,none,nan,128,28,5,3700.018617
