analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,tsit5,fixed,none,none,nan,8,28,0,46.177848
times,pleiades,tsit5,fixed,none,none,nan,8,28,1,42.106109
times,pleiades,tsit5,fixed,none,none,nan,8,28,2,42.009308
times,pleiades,tsit5,fixed,none,none,nan,8,28,3,42.043390
times,pleiades,tsit5,fixed,none,none,nan,8,28,4,41.961800
times,pleiades,tsit5,fixed,none,none,nan,8,28,5,42.031472
times,pleiades,tsit5,fixed,none,none,nan,8,28,6,42.109620
times,pleiades,tsit5,fixed,none,none,nan,8,28,7,42.082335
times,pleiades,tsit5,fixed,none,none,nan,8,28,8,42.081980
times,pleiades,tsit5,fixed,none,none,nan,8,28,9,42.052586
times,pleiades,tsit5,fixed,none,none,nan,8,28,10,42.075248
times,pleiades,tsit5,fixed,none,none,nan,8,28,11,42.256920
times,pleiades,tsit5,fixed,none,none,nan,8,28,12,41.583183
times,pleiades,tsit5,fixed,none,none,nan,8,28,13,40.823909
times,pleiades,tsit5,fixed,none,none,nan,8,28,14,40.732891
times,pleiades,tsit5,fixed,none,none,nan,8,28,15,40.795329
times,pleiades,tsit5,fixed,none,none,nan,8,28,16,40.770313
times,pleiades,tsit5,fixed,none,none,nan,8,28,17,40.736717
times,pleiades,tsit5,fixed,none,none,nan,8,28,18,40.738282
times,pleiades,tsit5,fixed,none,none,nan,8,28,19,40.641477
times,pleiades,tsit5,fixed,none,none,nan,8,28,20,40.673507
times,pleiades,tsit5,fixed,both,none,nan,8,28,0,134.825416
times,pleiades,tsit5,fixed,both,none,nan,8,28,1,40.839638
times,pleiades,tsit5,fixed,both,none,nan,8,28,2,40.765640
times,pleiades,tsit5,fixed,both,none,nan,8,28,3,40.833867
times,pleiades,tsit5,fixed,both,none,nan,8,28,4,40.799750
times,pleiades,tsit5,fixed,both,none,nan,8,28,5,40.795274
times,pleiades,tsit5,fixed,both,none,nan,8,28,6,40.762582
times,pleiades,tsit5,fixed,both,none,nan,8,28,7,40.871071
times,pleiades,tsit5,fixed,both,none,nan,8,28,8,40.848541
times,pleiades,tsit5,fixed,both,none,nan,8,28,9,40.875323
times,pleiades,tsit5,fixed,both,none,nan,8,28,10,40.817929
times,pleiades,tsit5,fixed,both,none,nan,8,28,11,40.839459
times,pleiades,tsit5,fixed,both,none,nan,8,28,12,40.836635
times,pleiades,tsit5,fixed,both,none,nan,8,28,13,40.844622
times,pleiades,tsit5,fixed,both,none,nan,8,28,14,40.789293
times,pleiades,tsit5,fixed,both,none,nan,8,28,15,40.867667
times,pleiades,tsit5,fixed,both,none,nan,8,28,16,40.798014
times,pleiades,tsit5,fixed,both,none,nan,8,28,17,40.806039
times,pleiades,tsit5,fixed,both,none,nan,8,28,18,40.882152
times,pleiades,tsit5,fixed,both,none,nan,8,28,19,40.893595
times,pleiades,tsit5,fixed,both,none,nan,8,28,20,40.820647
times,pleiades,tsit5,fixed,none,none,nan,32,28,0,46.947557
times,pleiades,tsit5,fixed,none,none,nan,32,28,1,42.733894
times,pleiades,tsit5,fixed,none,none,nan,32,28,2,42.765295
times,pleiades,tsit5,fixed,none,none,nan,32,28,3,42.740566
times,pleiades,tsit5,fixed,none,none,nan,32,28,4,42.768123
times,pleiades,tsit5,fixed,none,none,nan,32,28,5,42.973234
times,pleiades,tsit5,fixed,none,none,nan,32,28,6,43.007001
times,pleiades,tsit5,fixed,none,none,nan,32,28,7,42.763872
times,pleiades,tsit5,fixed,none,none,nan,32,28,8,42.748739
times,pleiades,tsit5,fixed,none,none,nan,32,28,9,42.742258
times,pleiades,tsit5,fixed,none,none,nan,32,28,10,42.752308
times,pleiades,tsit5,fixed,none,none,nan,32,28,11,42.957194
times,pleiades,tsit5,fixed,none,none,nan,32,28,12,42.787070
times,pleiades,tsit5,fixed,none,none,nan,32,28,13,42.736404
times,pleiades,tsit5,fixed,none,none,nan,32,28,14,42.960233
times,pleiades,tsit5,fixed,none,none,nan,32,28,15,42.957316
times,pleiades,tsit5,fixed,none,none,nan,32,28,16,42.751342
times,pleiades,tsit5,fixed,none,none,nan,32,28,17,42.921336
times,pleiades,tsit5,fixed,none,none,nan,32,28,18,42.951856
times,pleiades,tsit5,fixed,none,none,nan,32,28,19,42.907028
times,pleiades,tsit5,fixed,none,none,nan,32,28,20,42.767143
times,pleiades,tsit5,fixed,both,none,nan,32,28,0,42.830892
times,pleiades,tsit5,fixed,both,none,nan,32,28,1,42.990822
times,pleiades,tsit5,fixed,both,none,nan,32,28,2,42.986277
times,pleiades,tsit5,fixed,both,none,nan,32,28,3,42.841412
times,pleiades,tsit5,fixed,both,none,nan,32,28,4,42.815998
times,pleiades,tsit5,fixed,both,none,nan,32,28,5,42.773359
times,pleiades,tsit5,fixed,both,none,nan,32,28,6,46.386537
times,pleiades,tsit5,fixed,both,none,nan,32,28,7,47.280166
times,pleiades,tsit5,fixed,both,none,nan,32,28,8,42.488146
times,pleiades,tsit5,fixed,both,none,nan,32,28,9,42.956906
times,pleiades,tsit5,fixed,both,none,nan,32,28,10,42.485995
times,pleiades,tsit5,fixed,both,none,nan,32,28,11,41.659352
times,pleiades,tsit5,fixed,both,none,nan,32,28,12,41.509162
times,pleiades,tsit5,fixed,both,none,nan,32,28,13,41.842556
times,pleiades,tsit5,fixed,both,none,nan,32,28,14,41.694403
times,pleiades,tsit5,fixed,both,none,nan,32,28,15,41.843869
times,pleiades,tsit5,fixed,both,none,nan,32,28,16,41.292112
times,pleiades,tsit5,fixed,both,none,nan,32,28,17,42.346590
times,pleiades,tsit5,fixed,both,none,nan,32,28,18,42.531768
times,pleiades,tsit5,fixed,both,none,nan,32,28,19,41.650308
times,pleiades,tsit5,fixed,both,none,nan,32,28,20,41.657412
times,pleiades,tsit5,fixed,none,none,nan,128,28,0,49.368865
times,pleiades,tsit5,fixed,none,none,nan,128,28,1,40.327463
times,pleiades,tsit5,fixed,none,none,nan,128,28,2,40.060234
times,pleiades,tsit5,fixed,none,none,nan,128,28,3,40.438710
times,pleiades,tsit5,fixed,none,none,nan,128,28,4,40.031513
times,pleiades,tsit5,fixed,none,none,nan,128,28,5,40.347109
times,pleiades,tsit5,fixed,none,none,nan,128,28,6,39.716589
