analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,0,21.765858
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,1,21.795744
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,2,21.759771
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,3,23.556548
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,4,21.746163
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,5,21.773901
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,6,21.758458
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,7,21.787179
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,8,21.677584
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,9,21.779555
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,10,21.751180
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,11,21.816434
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,12,21.688196
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,13,21.803325
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,14,21.738336
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,15,21.807380
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,16,21.683464
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,17,21.786978
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,18,21.735313
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,19,21.805951
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,20,21.706931
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,0,115.726254
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,1,21.869761
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,2,21.867612
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,3,21.729364
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,4,21.834726
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,5,21.835923
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,6,21.870649
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,7,21.734675
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,8,21.819835
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,9,21.812390
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,10,21.846142
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,11,21.722588
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,12,21.824462
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,13,21.804176
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,14,21.855111
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,15,21.726223
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,16,21.836131
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,17,21.808228
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,18,21.861032
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,19,21.733583
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,20,21.845229
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,0,28.791407
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,1,28.876807
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,2,29.026968
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,3,28.841061
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,4,28.747449
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,5,28.864883
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,6,29.062162
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,7,28.804214
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,8,28.766151
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,9,28.865558
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,32,20,10,28.964235
