analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,0,1517.201384
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,1,1484.577883
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,2,1497.733252
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,3,1489.118874
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,4,1486.887900
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,5,1485.953380
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,6,1489.353140
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,7,1487.181099
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,8,1488.100326
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,9,1487.747811
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,10,1488.123025
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,0,1852.774079
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,1,1968.087623
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,2,1873.592610
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,3,1854.794745
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,4,1857.886636
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,5,1858.141323
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,6,1851.545575
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,7,1859.125564
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,8,3730.179476
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,9,4064.225193
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,10,4065.452333
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,0,5556.742895
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,1,5597.896494
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,2,5567.123568
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,3,5773.435943
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,0,9142.962709
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,1,9140.957474
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,2,9148.804346
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-05,131072,20,3,9158.158945
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,0,7713.222344
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,1,7736.293371
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,2,7768.707162
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-06,131072,20,3,8458.206859
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-07,131072,20,0,15769.571816
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-07,131072,20,1,15808.142110
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-07,131072,20,2,15776.744928
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-07,131072,20,3,15784.029387
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-08,131072,20,0,33895.903322
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-08,131072,20,1,33955.424095
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-08,131072,20,2,33923.774014
wp,pollu,rosenbrock23_sciml,adaptive,d2h,tol,1e-08,131072,20,3,34118.951220
