analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,0,575.271008
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,1,578.733177
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,2,565.035805
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,3,568.382145
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,4,564.685423
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,5,569.392445
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,6,564.254455
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,7,566.770411
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,8,567.537358
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,9,569.148762
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,6.25e-05,131072,15,10,564.105452
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,0,1130.540963
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,1,1126.292128
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,2,1128.324878
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,3,1129.090524
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,4,1130.930408
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,5,1125.218983
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,6,1128.754892
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,7,1129.483554
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,8,1132.177419
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,9,1125.184895
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.125e-05,131072,15,10,1159.883630
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,0,2285.252673
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,1,4472.253278
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,2,7502.713709
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,3,7503.204550
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,4,7527.622902
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,5,7505.971880
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,6,7510.085038
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,7,7504.394968
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,8,7505.226242
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,9,7517.658985
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.5625e-05,131072,15,10,7506.848981
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,0,9840.815181
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,1,9824.015397
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,2,9837.582459
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,7.8125e-06,131072,15,3,9841.647273
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,0,19690.824376
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,1,19645.661621
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,2,19670.865759
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,3.90625e-06,131072,15,3,19656.268261
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,0,19263.959578
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,1,17941.135465
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,2,17966.464439
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,1.953125e-06,131072,15,3,17998.441102
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,0,35959.124630
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,1,35938.135217
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,2,36109.750885
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,9.765625e-07,131072,15,3,35980.604154
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,4.8828125e-07,131072,15,0,71887.739097
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,4.8828125e-07,131072,15,1,71783.252150
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,4.8828125e-07,131072,15,2,71804.683631
wp,ring_modulator,rosenbrock23_sciml,fixed,d2h,dt,4.8828125e-07,131072,15,3,71778.798694
