analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,0,109.305716
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,1,15.557772
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,2,34.921908
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,3,17.009689
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,4,28.241238
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,5,13.230742
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,6,16.069977
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,7,16.644489
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,8,17.612075
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,9,13.176517
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,10,15.008853
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,11,16.612177
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,12,17.529460
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,13,13.163347
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,14,14.966937
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,15,16.594072
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,16,17.646185
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,17,13.256750
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,18,14.946104
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,19,16.705321
wp,ring_modulator,tsit5,fixed,d2h,dt,6.25e-05,131072,15,20,17.627724
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,0,24.112771
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,1,29.324708
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,2,23.883865
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,3,27.149258
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,4,27.583336
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,5,28.936824
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,6,23.880584
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,7,26.517622
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,8,27.948356
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,9,31.895374
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,10,26.768953
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,11,27.366822
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,12,27.173446
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,13,28.232833
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,14,23.740300
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,15,26.171287
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,16,27.302246
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,17,28.593775
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,18,23.775391
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,19,25.722673
wp,ring_modulator,tsit5,fixed,d2h,dt,3.125e-05,131072,15,20,27.362069
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,0,50.400790
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,1,45.693780
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,2,47.020384
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,3,45.449908
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,4,48.353877
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,5,45.465180
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,6,47.943165
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,7,48.923544
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,8,50.127779
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,9,45.595392
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,10,47.463966
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,11,49.022141
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,12,50.006121
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,13,45.409476
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,14,47.547686
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,15,48.900293
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,16,49.978062
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,17,45.490578
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,18,47.462754
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,19,48.958924
wp,ring_modulator,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,20,49.929058
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,0,87.136890
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,1,92.539172
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,2,87.041102
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,3,89.662808
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,4,90.432175
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,5,91.671862
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,6,87.057192
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,7,89.115430
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,8,90.665963
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,9,91.321803
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,10,86.843040
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,11,88.863764
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,12,90.492885
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,13,91.427801
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,14,87.085630
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,15,89.109283
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,16,90.583951
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,17,91.699779
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,18,87.003198
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,19,89.044634
wp,ring_modulator,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,20,90.431481
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,0,176.628481
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,1,171.332714
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,2,172.530382
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,3,171.499815
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,4,174.308878
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,5,171.437560
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,6,173.678203
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,7,175.029980
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,8,175.821588
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,9,171.314071
wp,ring_modulator,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,10,173.567222
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,0,344.929115
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,1,368.745756
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,2,340.667385
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,3,558.072605
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,4,344.108083
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,5,344.608110
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,6,344.394813
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,7,344.728524
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,8,345.088103
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,9,344.492080
wp,ring_modulator,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,10,345.976404
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,0,678.061218
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,1,681.465247
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,2,682.551857
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,3,677.757575
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,4,682.400094
wp,ring_modulator,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,5,681.234313
