analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,0,43.450979
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,1,16.139264
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,2,21.616107
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,3,16.099063
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,4,18.901317
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,5,19.661006
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,6,21.251238
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,7,16.147936
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,8,18.093137
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,9,19.680852
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,10,20.561798
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,11,16.137034
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,12,18.050281
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,13,19.585122
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,14,20.601316
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,15,16.127869
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,16,18.053701
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,17,19.647759
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,18,20.464629
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,19,16.165928
wp,ring_modulator_index2,tsit5,adaptive,d2h,tol,0.01,131072,15,20,17.988327
