analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,0,33.642714
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,1,9.277684
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,2,11.130515
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,3,9.196291
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,4,12.578042
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,5,9.304358
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,6,11.977160
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,7,12.689734
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,8,13.560079
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,9,9.222251
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,10,10.979904
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,11,12.586500
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,12,13.474430
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,13,9.233592
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,14,11.003587
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,15,12.604795
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,16,13.498866
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,17,9.196350
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,18,10.980188
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,19,12.581319
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,6.25e-05,131072,15,20,13.513151
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,0,19.252075
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,1,14.709818
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,2,17.902939
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,3,18.231762
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,4,18.977894
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,5,14.684286
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,6,16.479170
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,7,18.142321
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,8,18.969410
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,9,14.698027
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,10,16.442351
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,11,18.099202
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,12,18.976427
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,13,14.756917
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,14,16.389105
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,15,18.043860
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,16,18.984793
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,17,14.761421
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,18,16.514417
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,19,18.087882
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.125e-05,131072,15,20,18.953467
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,0,28.748603
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,1,25.999487
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,2,28.356298
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,3,29.422953
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,4,30.220522
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,5,25.948786
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,6,27.590296
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,7,29.346925
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,8,30.202653
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,9,25.893773
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,10,27.712198
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,11,29.387650
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,12,30.224297
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,13,25.960812
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,14,27.664236
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,15,29.313833
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,16,30.217443
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,17,25.882162
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,18,27.731481
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,19,29.247259
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.5625e-05,131072,15,20,30.148199
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,0,50.021877
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,1,47.303353
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,2,49.767361
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,3,50.638730
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,4,51.494410
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,5,47.259358
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,6,48.968004
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,7,50.613629
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,8,51.589844
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,9,47.298479
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,10,49.153319
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,11,50.641442
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,12,51.669140
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,13,47.227632
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,14,49.008760
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,15,50.706395
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,16,51.568594
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,17,47.158760
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,18,49.030104
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,19,51.010205
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,7.8125e-06,131072,15,20,51.654328
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,0,93.163979
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,1,90.336263
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,2,93.389725
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,3,93.810402
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,4,94.615998
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,5,90.740892
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,6,92.231284
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,7,93.668353
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,8,94.697457
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,9,90.444439
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,10,92.220231
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,11,93.801976
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,12,94.688031
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,13,90.286442
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,14,92.219195
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,15,93.684530
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,16,94.728824
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,17,90.285010
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,18,92.204292
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,19,93.915414
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,3.90625e-06,131072,15,20,94.882256
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,0,179.626097
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,1,176.745517
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,2,179.466274
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,3,180.159978
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,4,181.097902
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,5,176.762631
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,6,178.581761
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,7,180.017607
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,8,181.035136
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,9,176.650131
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,1.953125e-06,131072,15,10,178.709355
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,0,349.965925
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,1,348.617651
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,2,349.629738
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,3,348.708526
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,4,351.202756
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,5,352.028623
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,6,353.204442
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,7,348.548886
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,8,350.401615
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,9,352.472378
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,9.765625e-07,131072,15,10,353.605394
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,4.8828125e-07,131072,15,0,694.826796
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,4.8828125e-07,131072,15,1,691.868567
wp,ring_modulator_index2,tsit5,fixed,d2h,dt,4.8828125e-07,131072,15,2,694.982160
