analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz,tsit5,adaptive,none,none,nan,8,3,0,0.274000
times,lorenz,tsit5,adaptive,none,none,nan,8,3,1,0.102200
times,lorenz,tsit5,adaptive,none,none,nan,8,3,2,0.080400
times,lorenz,tsit5,adaptive,none,none,nan,8,3,3,0.063500
times,lorenz,tsit5,adaptive,none,none,nan,8,3,4,0.082700
times,lorenz,tsit5,adaptive,none,none,nan,8,3,5,0.062700
times,lorenz,tsit5,adaptive,none,none,nan,8,3,6,0.075200
times,lorenz,tsit5,adaptive,none,none,nan,8,3,7,0.065700
times,lorenz,tsit5,adaptive,none,none,nan,8,3,8,0.063800
times,lorenz,tsit5,adaptive,none,none,nan,8,3,9,0.063300
times,lorenz,tsit5,adaptive,none,none,nan,8,3,10,0.070200
times,lorenz,tsit5,adaptive,none,none,nan,8,3,11,0.076800
times,lorenz,tsit5,adaptive,none,none,nan,8,3,12,0.084600
times,lorenz,tsit5,adaptive,none,none,nan,8,3,13,0.063100
times,lorenz,tsit5,adaptive,none,none,nan,8,3,14,0.063900
times,lorenz,tsit5,adaptive,none,none,nan,8,3,15,0.051900
times,lorenz,tsit5,adaptive,none,none,nan,8,3,16,0.070000
times,lorenz,tsit5,adaptive,none,none,nan,8,3,17,0.084100
times,lorenz,tsit5,adaptive,none,none,nan,8,3,18,0.070400
times,lorenz,tsit5,adaptive,none,none,nan,8,3,19,0.052200
times,lorenz,tsit5,adaptive,none,none,nan,8,3,20,0.091800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,0,117.843300
times,lorenz,tsit5,adaptive,both,none,nan,8,3,1,0.299800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,2,0.128800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,3,0.122900
times,lorenz,tsit5,adaptive,both,none,nan,8,3,4,0.110900
times,lorenz,tsit5,adaptive,both,none,nan,8,3,5,0.118400
times,lorenz,tsit5,adaptive,both,none,nan,8,3,6,0.116800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,7,0.110300
times,lorenz,tsit5,adaptive,both,none,nan,8,3,8,0.120900
times,lorenz,tsit5,adaptive,both,none,nan,8,3,9,0.116400
times,lorenz,tsit5,adaptive,both,none,nan,8,3,10,0.106300
times,lorenz,tsit5,adaptive,both,none,nan,8,3,11,0.113800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,12,0.111600
times,lorenz,tsit5,adaptive,both,none,nan,8,3,13,0.093800
times,lorenz,tsit5,adaptive,both,none,nan,8,3,14,0.110000
times,lorenz,tsit5,adaptive,both,none,nan,8,3,15,0.100300
times,lorenz,tsit5,adaptive,both,none,nan,8,3,16,0.103100
times,lorenz,tsit5,adaptive,both,none,nan,8,3,17,0.116900
times,lorenz,tsit5,adaptive,both,none,nan,8,3,18,0.106200
times,lorenz,tsit5,adaptive,both,none,nan,8,3,19,0.121900
times,lorenz,tsit5,adaptive,both,none,nan,8,3,20,0.131300
times,lorenz,tsit5,adaptive,none,none,nan,32,3,0,0.257900
times,lorenz,tsit5,adaptive,none,none,nan,32,3,1,0.112200
times,lorenz,tsit5,adaptive,none,none,nan,32,3,2,0.117900
times,lorenz,tsit5,adaptive,none,none,nan,32,3,3,0.096800
times,lorenz,tsit5,adaptive,none,none,nan,32,3,4,0.114900
times,lorenz,tsit5,adaptive,none,none,nan,32,3,5,0.121100
times,lorenz,tsit5,adaptive,none,none,nan,32,3,6,0.118100
times,lorenz,tsit5,adaptive,none,none,nan,32,3,7,0.118500
times,lorenz,tsit5,adaptive,none,none,nan,32,3,8,0.119600
times,lorenz,tsit5,adaptive,none,none,nan,32,3,9,0.132400
times,lorenz,tsit5,adaptive,none,none,nan,32,3,10,0.139300
times,lorenz,tsit5,adaptive,none,none,nan,32,3,11,0.181800
times,lorenz,tsit5,adaptive,none,none,nan,32,3,12,0.107000
times,lorenz,tsit5,adaptive,none,none,nan,32,3,13,0.129900
times,lorenz,tsit5,adaptive,none,none,nan,32,3,14,0.120500
times,lorenz,tsit5,adaptive,none,none,nan,32,3,15,0.096400
times,lorenz,tsit5,adaptive,none,none,nan,32,3,16,0.114800
times,lorenz,tsit5,adaptive,none,none,nan,32,3,17,0.119600
times,lorenz,tsit5,adaptive,none,none,nan,32,3,18,0.118200
times,lorenz,tsit5,adaptive,none,none,nan,32,3,19,0.096600
times,lorenz,tsit5,adaptive,none,none,nan,32,3,20,0.118500
times,lorenz,tsit5,adaptive,both,none,nan,32,3,0,0.271500
times,lorenz,tsit5,adaptive,both,none,nan,32,3,1,0.170500
times,lorenz,tsit5,adaptive,both,none,nan,32,3,2,0.164600
times,lorenz,tsit5,adaptive,both,none,nan,32,3,3,0.163800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,4,0.161800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,5,0.145000
times,lorenz,tsit5,adaptive,both,none,nan,32,3,6,0.164500
times,lorenz,tsit5,adaptive,both,none,nan,32,3,7,0.146000
times,lorenz,tsit5,adaptive,both,none,nan,32,3,8,0.165800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,9,0.146100
times,lorenz,tsit5,adaptive,both,none,nan,32,3,10,0.164200
times,lorenz,tsit5,adaptive,both,none,nan,32,3,11,0.248800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,12,0.291000
times,lorenz,tsit5,adaptive,both,none,nan,32,3,13,0.237800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,14,0.207400
times,lorenz,tsit5,adaptive,both,none,nan,32,3,15,0.197500
times,lorenz,tsit5,adaptive,both,none,nan,32,3,16,0.206800
times,lorenz,tsit5,adaptive,both,none,nan,32,3,17,0.207300
times,lorenz,tsit5,adaptive,both,none,nan,32,3,18,0.207900
times,lorenz,tsit5,adaptive,both,none,nan,32,3,19,0.220100
times,lorenz,tsit5,adaptive,both,none,nan,32,3,20,0.277100
times,lorenz,tsit5,adaptive,none,none,nan,128,3,0,0.252400
times,lorenz,tsit5,adaptive,none,none,nan,128,3,1,0.131300
times,lorenz,tsit5,adaptive,none,none,nan,128,3,2,0.102800
times,lorenz,tsit5,adaptive,none,none,nan,128,3,3,0.102600
times,lorenz,tsit5,adaptive,none,none,nan,128,3,4,0.101400
times,lorenz,tsit5,adaptive,none,none,nan,128,3,5,0.102000
times,lorenz,tsit5,adaptive,none,none,nan,128,3,6,0.131200
times,lorenz,tsit5,adaptive,none,none,nan,128,3,7,0.102000
times,lorenz,tsit5,adaptive,none,none,nan,128,3,8,0.102300
times,lorenz,tsit5,adaptive,none,none,nan,128,3,9,0.101500
times,lorenz,tsit5,adaptive,none,none,nan,128,3,10,0.101900
times,lorenz,tsit5,adaptive,none,none,nan,128,3,11,0.101300
times,lorenz,tsit5,adaptive,none,none,nan,128,3,12,0.119200
times,lorenz,tsit5,adaptive,none,none,nan,128,3,13,0.101900
times,lorenz,tsit5,adaptive,none,none,nan,128,3,14,0.119700
times,lorenz,tsit5,adaptive,none,none,nan,128,3,15,0.102300
times,lorenz,tsit5,adaptive,none,none,nan,128,3,16,0.101300
times,lorenz,tsit5,adaptive,none,none,nan,128,3,17,0.103100
times,lorenz,tsit5,adaptive,none,none,nan,128,3,18,0.103900
times,lorenz,tsit5,adaptive,none,none,nan,128,3,19,0.117900
times,lorenz,tsit5,adaptive,none,none,nan,128,3,20,0.102200
times,lorenz,tsit5,adaptive,both,none,nan,128,3,0,0.905900
times,lorenz,tsit5,adaptive,both,none,nan,128,3,1,0.376700
times,lorenz,tsit5,adaptive,both,none,nan,128,3,2,0.302300
times,lorenz,tsit5,adaptive,both,none,nan,128,3,3,0.284000
times,lorenz,tsit5,adaptive,both,none,nan,128,3,4,0.277800
times,lorenz,tsit5,adaptive,both,none,nan,128,3,5,0.287100
times,lorenz,tsit5,adaptive,both,none,nan,128,3,6,0.333000
times,lorenz,tsit5,adaptive,both,none,nan,128,3,7,0.274100
times,lorenz,tsit5,adaptive,both,none,nan,128,3,8,0.263800
times,lorenz,tsit5,adaptive,both,none,nan,128,3,9,0.259100
times,lorenz,tsit5,adaptive,both,none,nan,128,3,10,0.274300
times,lorenz,tsit5,adaptive,both,none,nan,128,3,11,0.252900
times,lorenz,tsit5,adaptive,both,none,nan,128,3,12,0.267900
times,lorenz,tsit5,adaptive,both,none,nan,128,3,13,0.252700
times,lorenz,tsit5,adaptive,both,none,nan,128,3,14,0.261400
times,lorenz,tsit5,adaptive,both,none,nan,128,3,15,0.248800
times,lorenz,tsit5,adaptive,both,none,nan,128,3,16,0.266500
times,lorenz,tsit5,adaptive,both,none,nan,128,3,17,0.418900
times,lorenz,tsit5,adaptive,both,none,nan,128,3,18,0.248600
times,lorenz,tsit5,adaptive,both,none,nan,128,3,19,0.243000
times,lorenz,tsit5,adaptive,both,none,nan,128,3,20,0.259500
times,lorenz,tsit5,adaptive,none,none,nan,512,3,0,0.378800
times,lorenz,tsit5,adaptive,none,none,nan,512,3,1,0.280400
times,lorenz,tsit5,adaptive,none,none,nan,512,3,2,0.195600
times,lorenz,tsit5,adaptive,none,none,nan,512,3,3,0.178000
times,lorenz,tsit5,adaptive,none,none,nan,512,3,4,0.169200
times,lorenz,tsit5,adaptive,none,none,nan,512,3,5,0.171200
times,lorenz,tsit5,adaptive,none,none,nan,512,3,6,0.169900
times,lorenz,tsit5,adaptive,none,none,nan,512,3,7,0.169300
times,lorenz,tsit5,adaptive,none,none,nan,512,3,8,0.179100
times,lorenz,tsit5,adaptive,none,none,nan,512,3,9,0.236000
times,lorenz,tsit5,adaptive,none,none,nan,512,3,10,0.265500
times,lorenz,tsit5,adaptive,none,none,nan,512,3,11,0.205900
times,lorenz,tsit5,adaptive,none,none,nan,512,3,12,0.188100
times,lorenz,tsit5,adaptive,none,none,nan,512,3,13,0.186300
times,lorenz,tsit5,adaptive,none,none,nan,512,3,14,0.212900
times,lorenz,tsit5,adaptive,none,none,nan,512,3,15,0.216000
times,lorenz,tsit5,adaptive,none,none,nan,512,3,16,0.213100
times,lorenz,tsit5,adaptive,none,none,nan,512,3,17,0.205400
times,lorenz,tsit5,adaptive,none,none,nan,512,3,18,0.232700
times,lorenz,tsit5,adaptive,none,none,nan,512,3,19,0.210300
times,lorenz,tsit5,adaptive,none,none,nan,512,3,20,0.189300
times,lorenz,tsit5,adaptive,both,none,nan,512,3,0,0.592700
times,lorenz,tsit5,adaptive,both,none,nan,512,3,1,0.282300
times,lorenz,tsit5,adaptive,both,none,nan,512,3,2,0.455900
times,lorenz,tsit5,adaptive,both,none,nan,512,3,3,0.337200
times,lorenz,tsit5,adaptive,both,none,nan,512,3,4,0.312400
times,lorenz,tsit5,adaptive,both,none,nan,512,3,5,0.314300
times,lorenz,tsit5,adaptive,both,none,nan,512,3,6,0.296200
times,lorenz,tsit5,adaptive,both,none,nan,512,3,7,0.288100
times,lorenz,tsit5,adaptive,both,none,nan,512,3,8,0.257900
times,lorenz,tsit5,adaptive,both,none,nan,512,3,9,0.258500
times,lorenz,tsit5,adaptive,both,none,nan,512,3,10,0.257900
times,lorenz,tsit5,adaptive,both,none,nan,512,3,11,0.258700
times,lorenz,tsit5,adaptive,both,none,nan,512,3,12,0.292100
times,lorenz,tsit5,adaptive,both,none,nan,512,3,13,0.278400
times,lorenz,tsit5,adaptive,both,none,nan,512,3,14,0.338800
times,lorenz,tsit5,adaptive,both,none,nan,512,3,15,0.299000
times,lorenz,tsit5,adaptive,both,none,nan,512,3,16,0.315100
times,lorenz,tsit5,adaptive,both,none,nan,512,3,17,0.297600
