analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,0,8.379900
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,1,2.247000
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,2,3.172100
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,3,2.087500
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,4,4.398700
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,5,1.908600
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,6,4.454700
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,7,2.228900
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,8,2.305700
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,9,2.662400
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,10,2.275000
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,11,2.303300
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,12,4.018900
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,13,81.841700
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,14,2.377100
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,15,2.317600
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,16,2.471200
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,17,2.605900
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,18,2.623500
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,19,2.310600
wp,lorenz,tsit5,adaptive,d2h,tol,0.01,131072,3,20,2.021900
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,0,5.105700
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,1,3.165800
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,2,3.828000
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,3,3.884100
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,4,3.184100
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,5,3.203200
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,6,25.673300
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,7,3.418700
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,8,3.362200
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,9,3.683800
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,10,3.088300
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,11,2.715700
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,12,3.130900
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,13,3.931200
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,14,3.344900
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,15,3.285400
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,16,3.427600
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,17,4.200900
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,18,3.825100
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,19,3.514800
wp,lorenz,tsit5,adaptive,d2h,tol,0.001,131072,3,20,3.318300
wp,lorenz,tsit5,adaptive,d2h,tol,0.0001,131072,3,0,2.517000
wp,lorenz,tsit5,adaptive,d2h,tol,0.0001,131072,3,1,3.126000
