analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,0,9.174100
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,1,3.486000
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,2,3.111300
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,3,2.603700
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,4,6.959500
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,5,5.474900
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,6,3.502000
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,7,2.822900
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,8,2.664300
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,9,2.628300
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,10,5.106200
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,11,2.605200
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,12,6.688900
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,13,2.655700
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,14,227.676000
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,15,2.795100
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,16,2.544900
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,17,3.096600
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,18,4.366200
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,19,2.916700
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.0625,131072,3,20,2.669900
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.03125,131072,3,0,3.256600
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.03125,131072,3,1,3.093700
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.03125,131072,3,2,3.458400
wp,lorenz,rosenbrock23_sciml,fixed,d2h,dt,0.03125,131072,3,3,2.991500
