analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,0,26.082000
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,1,26.171100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,2,26.014800
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,3,26.117100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,4,27.075300
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,5,26.162100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,6,27.757900
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,7,25.925800
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,8,25.909800
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,9,26.027900
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,10,27.267500
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,11,25.992600
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,12,25.900800
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,13,25.947500
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,14,25.941100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,15,25.975100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,16,25.979100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,17,27.039200
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,18,26.191000
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,19,26.190500
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,4,20,25.989300
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,0,27.899100
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,1,28.544600
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,2,27.593100
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,3,30.131100
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,4,27.705800
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,5,28.899200
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,6,28.071100
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,7,28.227000
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,8,28.972600
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,9,27.638500
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,10,27.593100
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,11,27.393500
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,12,28.481900
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,13,27.388900
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,14,27.331700
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,15,28.491700
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,16,27.415800
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,17,27.711600
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,18,27.976500
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,19,29.206700
states,lorenz96,rosenbrock23_sciml,adaptive,both,none,nan,131072,4,20,27.573400
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,0,1018.313100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,1,1021.007700
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,2,1676.020400
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,3,2771.416400
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,4,1942.298100
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,5,1019.365400
states,lorenz96,rosenbrock23_sciml,adaptive,none,none,nan,131072,8,6,1020.456700
