analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,0,53.069700
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,1,7.528200
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,2,7.747900
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,3,7.607400
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,4,8.718300
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,5,7.648200
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,6,7.610400
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,7,7.615300
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,8,7.579800
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,9,7.644700
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,10,8.788800
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,11,7.628200
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,12,7.619400
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,13,7.581800
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,14,7.621300
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,15,7.567800
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,16,7.705500
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,17,8.631200
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,18,7.611000
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,19,7.620500
states,lorenz96,tsit5,fixed,none,none,nan,131072,4,20,7.632700
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,0,96.741200
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,1,10.723900
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,2,8.678800
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,3,8.620300
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,4,9.894500
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,5,12.249100
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,6,10.684200
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,7,10.748700
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,8,11.933100
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,9,11.077800
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,10,11.718800
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,11,10.439600
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,12,94.611700
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,13,6.640100
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,14,6.289400
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,15,6.280200
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,16,6.384800
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,17,6.725100
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,18,7.185200
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,19,6.951100
states,lorenz96,tsit5,fixed,both,none,nan,131072,4,20,6.905800
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,0,95.625400
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,1,48.990800
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,2,48.134000
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,3,48.151800
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,4,47.843600
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,5,49.014900
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,6,48.219800
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,7,48.827400
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,8,49.227700
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,9,48.278000
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,10,48.257600
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,11,47.893400
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,12,49.032700
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,13,48.263500
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,14,48.549200
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,15,48.185000
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,16,49.852000
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,17,48.089700
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,18,47.955000
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,19,48.785600
states,lorenz96,tsit5,fixed,none,none,nan,131072,8,20,47.720800
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,0,143.947200
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,1,55.660200
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,2,153.444700
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,3,49.793800
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,4,51.170500
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,5,50.840800
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,6,50.604000
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,7,53.688400
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,8,50.621000
states,lorenz96,tsit5,fixed,both,none,nan,131072,8,9,111.050300
