analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96,tsit5,fixed,none,none,nan,8,32,0,3.763400
times,lorenz96,tsit5,fixed,none,none,nan,8,32,1,3.705600
times,lorenz96,tsit5,fixed,none,none,nan,8,32,2,3.749000
times,lorenz96,tsit5,fixed,none,none,nan,8,32,3,3.773600
times,lorenz96,tsit5,fixed,none,none,nan,8,32,4,3.725200
times,lorenz96,tsit5,fixed,none,none,nan,8,32,5,3.740800
times,lorenz96,tsit5,fixed,none,none,nan,8,32,6,3.689000
times,lorenz96,tsit5,fixed,none,none,nan,8,32,7,3.734900
times,lorenz96,tsit5,fixed,none,none,nan,8,32,8,3.769700
times,lorenz96,tsit5,fixed,none,none,nan,8,32,9,3.689800
times,lorenz96,tsit5,fixed,none,none,nan,8,32,10,3.686100
times,lorenz96,tsit5,fixed,none,none,nan,8,32,11,3.688700
times,lorenz96,tsit5,fixed,none,none,nan,8,32,12,3.732200
times,lorenz96,tsit5,fixed,none,none,nan,8,32,13,3.719900
times,lorenz96,tsit5,fixed,none,none,nan,8,32,14,3.689700
times,lorenz96,tsit5,fixed,none,none,nan,8,32,15,3.720300
times,lorenz96,tsit5,fixed,none,none,nan,8,32,16,3.723800
times,lorenz96,tsit5,fixed,none,none,nan,8,32,17,3.634700
times,lorenz96,tsit5,fixed,none,none,nan,8,32,18,3.583900
times,lorenz96,tsit5,fixed,none,none,nan,8,32,19,3.719300
times,lorenz96,tsit5,fixed,none,none,nan,8,32,20,3.719100
times,lorenz96,tsit5,fixed,both,none,nan,8,32,0,95.289000
times,lorenz96,tsit5,fixed,both,none,nan,8,32,1,4.003900
times,lorenz96,tsit5,fixed,both,none,nan,8,32,2,3.920100
times,lorenz96,tsit5,fixed,both,none,nan,8,32,3,3.795700
times,lorenz96,tsit5,fixed,both,none,nan,8,32,4,3.860500
times,lorenz96,tsit5,fixed,both,none,nan,8,32,5,3.788200
times,lorenz96,tsit5,fixed,both,none,nan,8,32,6,3.831600
times,lorenz96,tsit5,fixed,both,none,nan,8,32,7,3.774400
times,lorenz96,tsit5,fixed,both,none,nan,8,32,8,3.836600
times,lorenz96,tsit5,fixed,both,none,nan,8,32,9,3.759900
times,lorenz96,tsit5,fixed,both,none,nan,8,32,10,3.787700
times,lorenz96,tsit5,fixed,both,none,nan,8,32,11,3.779900
times,lorenz96,tsit5,fixed,both,none,nan,8,32,12,3.742400
times,lorenz96,tsit5,fixed,both,none,nan,8,32,13,3.729700
times,lorenz96,tsit5,fixed,both,none,nan,8,32,14,3.861200
times,lorenz96,tsit5,fixed,both,none,nan,8,32,15,3.864300
times,lorenz96,tsit5,fixed,both,none,nan,8,32,16,3.810400
times,lorenz96,tsit5,fixed,both,none,nan,8,32,17,3.792500
times,lorenz96,tsit5,fixed,both,none,nan,8,32,18,3.828100
times,lorenz96,tsit5,fixed,both,none,nan,8,32,19,3.882000
times,lorenz96,tsit5,fixed,both,none,nan,8,32,20,4.069000
times,lorenz96,tsit5,fixed,none,none,nan,32,32,0,3.399100
times,lorenz96,tsit5,fixed,none,none,nan,32,32,1,3.296100
times,lorenz96,tsit5,fixed,none,none,nan,32,32,2,3.241600
times,lorenz96,tsit5,fixed,none,none,nan,32,32,3,3.233300
times,lorenz96,tsit5,fixed,none,none,nan,32,32,4,3.343900
times,lorenz96,tsit5,fixed,none,none,nan,32,32,5,3.341100
times,lorenz96,tsit5,fixed,none,none,nan,32,32,6,3.350200
times,lorenz96,tsit5,fixed,none,none,nan,32,32,7,3.345900
