analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,0,27.840700
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,1,20.367700
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,2,42.173200
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,3,23.280100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,4,18.136100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,5,24.743000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,6,17.075400
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,7,22.659700
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,8,21.761200
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,9,20.157200
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,10,20.891300
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,11,21.777500
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,12,19.960200
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,13,19.607000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,14,21.512900
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,15,21.894600
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,16,22.443800
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,17,20.930000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,18,22.096900
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,19,21.156100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0625,131072,32,20,21.875000
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,0,54.797600
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,1,243.211700
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,2,27.777100
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,3,28.029300
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,4,28.997700
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,5,29.606800
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,6,29.120700
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,7,36.319200
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,8,28.749600
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,9,28.288300
wp,lorenz96,tsit5,fixed,d2h,dt,0.03125,131072,32,10,32.423400
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,0,55.400900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,1,50.526600
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,2,52.582300
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,3,51.264300
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,4,51.810900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,5,51.113700
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,6,51.056100
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,7,52.112700
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,8,51.260500
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,9,52.478700
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,10,52.109600
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,11,51.880700
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,12,51.216000
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,13,53.328900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,14,51.621800
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,15,51.916900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,16,51.114900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,17,51.305900
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,18,51.392100
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,19,51.928500
wp,lorenz96,tsit5,fixed,d2h,dt,0.015625,131072,32,20,52.157600
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,0,97.071900
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,1,116.264100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,2,317.313600
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,3,92.333100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,4,91.974000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,5,92.144100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,6,92.285300
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,7,91.660000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,8,99.798100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,9,93.373800
wp,lorenz96,tsit5,fixed,d2h,dt,0.0078125,131072,32,10,93.025500
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,0,178.568900
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,1,184.370700
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,2,177.607000
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,3,180.318100
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,4,177.204400
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,5,180.226600
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,6,179.722700
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,7,179.399600
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,8,179.744700
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,9,178.857800
wp,lorenz96,tsit5,fixed,d2h,dt,0.00390625,131072,32,10,179.214900
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,0,351.348600
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,1,375.298100
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,2,582.870400
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,3,348.576000
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,4,347.129200
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,5,347.961900
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,6,348.113700
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,7,348.534100
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,8,355.791600
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,9,348.257500
wp,lorenz96,tsit5,fixed,d2h,dt,0.001953125,131072,32,10,347.795800
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,0,690.905500
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,1,696.641800
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,2,691.072900
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,3,693.219100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,4,692.102400
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,5,691.758100
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,6,691.527500
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,7,715.494900
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,8,691.294600
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,9,690.823000
wp,lorenz96,tsit5,fixed,d2h,dt,0.0009765625,131072,32,10,691.667700
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,0,1394.820700
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,1,1585.540500
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,2,1369.777900
wp,lorenz96,tsit5,fixed,d2h,dt,0.00048828125,131072,32,3,1370.700800
