analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,0,279.587900
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,1,1.390500
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,2,1.592400
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,3,1.455700
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,4,1.162800
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,5,1.271300
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,6,1.403800
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,7,1.630300
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,8,1.444200
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,9,1.777300
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,10,1.376500
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,11,1.310500
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,12,1.130400
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,13,1.151500
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,14,1.119400
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,15,1.147800
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,16,1.154900
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,17,1.468500
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,18,1.287700
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,19,1.202200
times,lorenz96_20,tsit5,adaptive,none,none,nan,8,20,20,1.539400
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,0,248.738600
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,1,2.321100
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,2,2.118600
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,3,2.185800
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,4,2.143700
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,5,2.448200
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,6,2.157000
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,7,2.095600
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,8,2.166100
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,9,2.051300
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,10,1.980000
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,11,2.047900
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,12,2.051000
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,13,2.066800
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,14,2.159000
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,15,2.375800
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,16,2.409100
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,17,2.229200
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,18,2.158600
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,19,2.111500
times,lorenz96_20,tsit5,adaptive,both,none,nan,8,20,20,2.297100
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,0,1.455000
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,1,1.257700
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,2,1.302500
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,3,1.200000
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,4,1.202600
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,5,1.177200
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,6,1.216100
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,7,1.192500
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,8,1.228700
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,9,1.174100
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,10,1.196100
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,11,1.191500
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,12,1.186600
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,13,1.155900
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,14,1.182000
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,15,1.253300
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,16,1.179100
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,17,1.194500
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,18,1.219200
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,19,1.138600
times,lorenz96_20,tsit5,adaptive,none,none,nan,32,20,20,1.218300
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,0,1.276200
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,1,1.252100
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,2,1.285200
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,3,1.268600
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,4,1.255900
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,5,1.275300
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,6,1.315000
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,7,1.283000
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,8,1.325900
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,9,1.268700
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,10,1.272800
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,11,1.293800
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,12,1.293500
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,13,1.264300
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,14,1.260300
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,15,1.289500
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,16,1.261300
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,17,1.339800
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,18,1.244200
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,19,1.276900
times,lorenz96_20,tsit5,adaptive,both,none,nan,32,20,20,1.286400
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,0,169.358500
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,1,1.931300
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,2,1.836600
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,3,1.792600
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,4,1.788300
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,5,1.766100
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,6,1.782800
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,7,1.786900
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,8,1.755700
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,9,1.756500
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,10,1.769800
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,11,1.786400
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,12,1.805800
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,13,1.747400
times,lorenz96_20,tsit5,adaptive,none,none,nan,128,20,14,1.762900
