analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,0,1498.656100
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,1,1249.877900
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,2,1239.162600
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,3,1276.800900
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,4,1439.937400
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,5,1109.311600
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,6,1089.280000
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,7,1111.329600
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,8,1075.192800
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,9,1090.684900
times,lorenz96_20,kvaerno3,fixed,none,none,nan,8,20,10,1102.189200
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,0,1183.017600
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,1,1081.343400
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,2,1092.153600
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,3,1111.363300
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,4,1058.332500
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,5,1078.794100
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,6,1087.381300
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,7,1096.577400
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,8,1114.635800
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,9,1085.917400
times,lorenz96_20,kvaerno3,fixed,both,none,nan,8,20,10,1085.243200
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,0,3263.815700
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,1,2992.706200
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,2,2345.939300
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,3,2345.167700
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,4,2324.405700
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,5,2369.774000
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,6,2601.991400
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,7,2599.801400
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,8,2532.361100
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,9,2585.029400
times,lorenz96_20,kvaerno3,fixed,none,none,nan,32,20,10,2562.185200
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,0,2543.848800
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,1,2550.040600
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,2,2544.079900
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,3,2620.609300
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,4,2658.781700
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,5,2530.356700
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,6,2544.108200
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,7,2590.705600
times,lorenz96_20,kvaerno3,fixed,both,none,nan,32,20,8,2541.090300
