analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,0,4508.847500
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,1,2164.029400
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,2,2178.598100
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,3,2149.901500
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,4,2148.844700
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,5,2148.692700
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,6,2148.949700
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,7,2151.495700
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,8,2153.202600
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,9,2151.289400
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.01,131072,20,10,2153.771600
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,0,57001.343100
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,1,56695.828600
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,2,55807.113600
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.001,131072,20,3,55765.592200
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,0,88543.419100
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,1,88508.068500
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,2,88443.781800
wp,lorenz96_20,rosenbrock23_sciml,adaptive,d2h,tol,0.0001,131072,20,3,88419.346300
