analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,0,125.250900
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,1,73.654000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,2,61.689700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,3,67.343800
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,4,76.194300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,5,47.406400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,6,48.698000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,7,52.405700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,8,45.242200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,9,48.755300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,10,33.073300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,11,28.485500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,12,33.281100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,13,29.381000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,14,31.884300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,15,28.794500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,16,33.359400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,17,29.390400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,18,30.644000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,19,29.280400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.01,131072,20,20,29.607300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,0,42.513700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,1,38.388500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,2,41.998000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,3,39.101400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,4,41.274100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,5,41.182600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,6,40.968100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,7,39.154000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,8,38.027200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,9,40.636400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,10,40.789500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,11,40.759500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,12,40.029200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,13,39.398000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,14,39.074400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,15,39.223500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,16,40.117700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,17,40.730000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,18,40.189700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,19,38.598600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.001,131072,20,20,40.220300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,0,46.707000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,1,46.733600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,2,45.594800
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,3,47.898100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,4,46.295600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,5,45.148800
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,6,47.393600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,7,45.860700
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,8,47.101100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,9,47.075400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,10,44.372900
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,11,46.973000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,12,44.690400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,13,46.134400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,14,45.218500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,15,45.569500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,16,46.019500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,17,47.539200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,18,45.976300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,19,44.868000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,0.0001,131072,20,20,44.406400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,0,99.540200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,1,375.029600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,2,67.605800
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,3,67.951500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,4,69.784000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,5,69.393100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,6,69.900200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,7,70.501200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,8,72.964400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,9,76.652000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-05,131072,20,10,80.267900
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,0,83.889000
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,1,83.725100
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,2,92.714300
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,3,84.728200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,4,85.011200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,5,84.301500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,6,90.490200
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,7,85.422400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,8,83.871600
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,9,89.895500
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,10,84.424400
wp,lorenz96_20,tsit5,adaptive,d2h,tol,1e-06,131072,20,11,85.785600
