analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,0,37.135600
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,1,46.648500
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,2,10.858400
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,3,11.212200
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,4,17.307300
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,5,35.106000
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,6,11.604400
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,7,10.917000
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,8,14.590900
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,9,9.423800
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,10,9.956000
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,11,14.319200
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,12,9.795200
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,13,13.934100
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,14,10.799700
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,15,13.986000
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,16,10.660700
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,17,15.168100
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,18,10.923900
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,19,16.097500
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.0625,131072,20,20,11.505600
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,0,45.500200
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,1,15.657200
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,2,315.364900
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,3,15.122600
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,4,15.313300
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,5,14.396800
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,6,15.777500
wp,lorenz96_20,tsit5,fixed,d2h,dt,0.03125,131072,20,7,19.329600
