analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,0,4229.446600
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,1,854.995400
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,2,850.215700
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,3,852.557800
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,4,854.312800
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,5,861.972200
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,6,1014.215100
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,7,1006.351800
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,8,874.282000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,9,855.240000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,8,28,10,848.870100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,0,1101.245800
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,1,854.908100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,2,855.120100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,3,849.728200
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,4,852.210000
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,5,854.773100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,6,855.364000
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,7,848.783100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,8,852.581700
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,9,854.378400
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,8,28,10,855.175400
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,0,15220.829800
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,1,15068.188000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,2,17276.076100
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,3,24210.696000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,4,25901.671000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,5,22441.799500
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,6,23085.104500
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,7,23856.546200
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,8,25712.988000
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,9,22507.268400
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,32,28,10,23192.471100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,0,23853.250300
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,1,26010.857900
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,2,22418.443100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,3,23171.550800
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,4,24038.289700
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,5,25777.855100
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,6,22455.990800
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,7,23023.683600
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,8,24030.592500
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,9,25715.805300
times,pleiades,rosenbrock23_sciml,adaptive,both,none,nan,32,28,10,22396.110900
times,pleiades,rosenbrock23_sciml,adaptive,none,none,nan,128,28,0,170637.943700
