analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,0,20.141800
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,1,19.337900
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,2,19.381700
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,3,19.084300
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,4,19.408100
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,5,18.891900
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,6,19.369600
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,7,19.242200
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,8,19.516900
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,9,19.275800
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,10,19.383300
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,11,19.224600
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,12,19.508500
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,13,19.042200
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,14,19.351400
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,15,19.991400
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,16,20.340700
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,17,18.932300
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,18,19.429600
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,19,19.232600
times,pollu,rosenbrock23_sciml,adaptive,none,none,nan,8,20,20,19.508900
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,0,108.393400
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,1,25.298600
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,2,18.904900
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,3,19.366600
times,pollu,rosenbrock23_sciml,adaptive,both,none,nan,8,20,4,18.864200
