analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,0,152.624800
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,1,151.419200
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,2,151.881700
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,3,151.764100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,4,152.079000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,5,151.471500
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,6,152.026100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,7,151.887200
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,8,151.888900
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,9,151.400400
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,8,20,10,151.911400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,0,276.284600
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,1,152.221900
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,2,151.970800
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,3,151.990300
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,4,151.591400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,5,152.068200
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,6,151.454800
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,7,151.831900
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,8,151.808300
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,9,152.015400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,8,20,10,151.499500
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,0,1179.169600
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,1,1212.620700
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,2,1193.240800
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,3,1262.768000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,4,1189.499800
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,5,1229.003000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,6,801.068400
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,7,280.059000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,8,226.769500
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,9,231.568500
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,32,20,10,234.639400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,0,256.473200
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,1,227.060400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,2,232.096300
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,3,234.568700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,4,256.876900
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,5,226.814200
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,6,232.045800
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,7,234.658700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,8,255.690700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,9,226.444700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,32,20,10,231.743800
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,0,581.489000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,1,587.563100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,2,581.996100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,3,575.836000
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,4,581.675800
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,5,587.375100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,6,582.072400
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,7,575.781500
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,8,581.589100
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,9,587.393900
times,pollu,rosenbrock23_sciml,fixed,none,none,nan,128,20,10,582.118600
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,0,575.961400
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,1,581.676300
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,2,587.546700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,3,582.163700
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,4,575.857200
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,5,581.596800
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,6,587.473800
times,pollu,rosenbrock23_sciml,fixed,both,none,nan,128,20,7,582.081800
