package,key,analysis,problem,algorithm,mode,setting_kind,setting,n,states,tier,transfers,min_ms,median_ms,p05_ms,p95_ms,max_ms,samples,errored_pct,error,build_s,recorded_utc
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8,3,default,both,0.4886,0.53525,0.489835,0.65243,0.7005,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8,3,default,none,0.4313,0.4735,0.44099,0.518335,0.5247,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32,3,default,both,0.4588,0.56255,0.46279,0.810565,0.8726,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32,3,default,none,0.38,0.4905,0.390925,0.547375,0.5754,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,128,3,default,both,0.4385,0.50735,0.443725,0.60363,0.6441,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,128,3,default,none,0.3685,0.38825,0.374865,0.46016,0.4784,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,512,3,default,both,0.4374,0.4822,0.4374,0.5436,0.5569,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,512,3,default,none,0.3672,0.38805,0.3691,0.46774,0.5046,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2048,3,default,both,0.4672,0.5442,0.49836,0.638095,0.6513,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2048,3,default,none,0.4076,0.4557,0.412445,0.51495,0.5159,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8192,3,default,both,0.6016,0.66975,0.603595,0.788745,0.8485,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8192,3,default,none,0.4233,0.48075,0.432325,0.55257,0.5767,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32768,3,default,both,1.0483,1.0971,1.048585,1.24715,2.4128,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,32768,3,default,none,0.6403,0.72285,0.65436,0.817435,0.8504,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,131072,3,default,both,2.9629,3.1397,2.99463,4.323885,4.354,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,131072,3,default,none,1.7052,1.74485,1.7071,1.958125,3.0226,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,524288,3,default,both,10.5616,12.57305,10.8846,23.87459,52.8513,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,524288,3,default,none,5.7877,6.45065,5.814015,7.72284,8.0124,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2097152,3,default,both,43.822,46.61935,44.803065,48.52193,52.1781,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,2097152,3,default,none,23.7866,24.43015,23.909625,25.090515,25.2409,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8388608,3,default,both,159.8584,169.3934,160.767985,187.527685,191.5852,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,kvaerno3,adaptive,tol,1e-05,8388608,3,default,none,94.9512,95.94505,95.276575,97.20721,97.2625,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8,3,default,both,0.257,0.30255,0.2589,0.423325,0.4276,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8,3,default,none,0.214,0.27415,0.2368,0.377475,0.3846,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,32,3,default,both,0.777,0.8564,0.78023,0.95183,1.4236,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,32,3,default,none,0.6548,0.7033,0.68691,0.810785,0.8219,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,128,3,default,both,0.5449,0.631,0.55269,0.67995,0.8595,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,128,3,default,none,0.5006,0.5377,0.510765,0.681325,0.8471,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,512,3,default,both,0.5939,0.70395,0.60283,1.007045,1.0497,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,512,3,default,none,0.5104,0.5692,0.535575,0.61373,0.6352,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,2048,3,default,both,0.6712,0.71545,0.6788,0.81914,0.8598,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,2048,3,default,none,0.5649,0.62585,0.5725,0.69681,0.7141,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8192,3,default,both,0.9786,1.04255,0.994845,1.087545,1.2385,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8192,3,default,none,0.636,0.72865,0.655855,0.82957,0.8708,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,32768,3,default,both,1.6078,1.76255,1.624615,2.25318,3.7215,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,32768,3,default,none,0.6271,0.6874,0.644865,0.876115,2.214,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,131072,3,default,both,4.115,4.2476,4.135805,6.167405,6.5076,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,131072,3,default,none,1.8925,1.9714,1.90846,3.03645,4.4396,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,524288,3,default,both,6.5475,10.1975,6.551585,16.83646,37.3424,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,524288,3,default,none,3.918,5.5055,3.951155,6.60658,6.6271,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,2097152,3,default,both,40.0558,44.46455,40.456225,48.38725,49.5643,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,2097152,3,default,none,11.6566,12.8504,11.789315,15.63563,42.0158,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8388608,3,default,both,140.849,151.4183,142.00037,163.67022,167.8113,10,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,rosenbrock23_sciml,adaptive,tol,1e-05,8388608,3,default,none,43.4864,44.7547,43.779855,47.498325,48.407,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8,3,default,both,0.0938,0.1151,0.099975,0.139725,0.2998,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8,3,default,none,0.0519,0.0701,0.052185,0.09232,0.1022,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,32,3,default,both,0.145,0.184,0.14595,0.277795,0.291,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,32,3,default,none,0.0964,0.11835,0.09659,0.141425,0.1818,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,128,3,default,both,0.243,0.2672,0.24832,0.37881,0.4189,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,128,3,default,none,0.1013,0.1023,0.1013,0.131205,0.1313,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,512,3,default,both,0.257,0.29415,0.257855,0.344655,0.4559,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,512,3,default,none,0.1692,0.2005,0.169295,0.266245,0.2804,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,2048,3,default,both,0.196,0.2217,0.201795,0.231005,0.2596,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,2048,3,default,none,0.1131,0.12625,0.11348,0.26072,0.5575,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8192,3,default,both,0.363,0.41885,0.38751,0.48027,0.5025,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,8192,3,default,none,0.0995,0.1174,0.099975,0.142385,0.2257,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,32768,3,default,both,1.0466,1.2326,1.05401,1.516095,3.4046,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,32768,3,default,none,0.2553,0.2648,0.256155,0.29309,0.4221,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,131072,3,default,both,1.4487,1.64825,1.4867,2.798445,2.8544,20,nan,nan,nan,2026-09-08T05:44:47Z
julia,windows_RTX-4070-SUPER,times,lorenz,tsit5,adaptive,tol,1e-05,131072,3,default,none,0.2298,0.2825,0.229895,0.423775,1.6203,20,nan,nan,nan,2026-09-08T05:44:47Z
