analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
times,ring_modulator,tsit5,adaptive,none,none,nan,8,15,0,30428.711400
times,ring_modulator,tsit5,adaptive,none,none,nan,8,15,1,30429.940300
times,ring_modulator,tsit5,adaptive,none,none,nan,8,15,2,30427.985600
times,ring_modulator,tsit5,adaptive,none,none,nan,8,15,3,30426.924400
times,ring_modulator,tsit5,adaptive,both,none,nan,8,15,0,30424.150700
times,ring_modulator,tsit5,adaptive,both,none,nan,8,15,1,30301.702600
times,ring_modulator,tsit5,adaptive,both,none,nan,8,15,2,30264.429800
times,ring_modulator,tsit5,adaptive,both,none,nan,8,15,3,30265.933000
times,ring_modulator,tsit5,adaptive,none,none,nan,32,15,0,60669.168500
times,ring_modulator,tsit5,adaptive,none,none,nan,32,15,1,60432.429700
times,ring_modulator,tsit5,adaptive,none,none,nan,32,15,2,60433.168400
times,ring_modulator,tsit5,adaptive,none,none,nan,32,15,3,60436.552500
times,ring_modulator,tsit5,adaptive,both,none,nan,32,15,0,60558.806100
times,ring_modulator,tsit5,adaptive,both,none,nan,32,15,1,60590.336300
times,ring_modulator,tsit5,adaptive,both,none,nan,32,15,2,60640.662200
times,ring_modulator,tsit5,adaptive,both,none,nan,32,15,3,60734.445200
times,ring_modulator,tsit5,adaptive,none,none,nan,128,15,0,111325.061200
times,ring_modulator,tsit5,adaptive,none,none,nan,128,15,1,111263.661000
times,ring_modulator,tsit5,adaptive,none,none,nan,128,15,2,111539.172400
times,ring_modulator,tsit5,adaptive,none,none,nan,128,15,3,111680.642900
times,ring_modulator,tsit5,adaptive,both,none,nan,128,15,0,111322.145700
times,ring_modulator,tsit5,adaptive,both,none,nan,128,15,1,111266.082000
times,ring_modulator,tsit5,adaptive,both,none,nan,128,15,2,111536.636000
times,ring_modulator,tsit5,adaptive,both,none,nan,128,15,3,111684.174700
