analysis,problem,algorithm,mode,transfers,setting_kind,setting,n,states,repeat,ms
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,0,35.190200
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,1,14.473600
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,2,16.142300
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,3,13.309700
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,4,16.200800
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,5,13.218300
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,6,15.774300
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,7,13.066200
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,8,15.777600
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,9,13.471300
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,10,22.084900
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,11,13.111500
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,12,15.387300
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,13,13.216400
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,14,15.216500
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,15,13.435200
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,16,15.258400
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,17,13.797400
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,18,15.039500
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,19,13.188100
wp,ring_modulator,tsit5,adaptive,d2h,tol,0.01,131072,15,20,15.487000
